,negative,positive
acciend,2.5,0.0
acclaim,2.8394367936337863,3.9173823267621817
acclim,3.321928094887363,3.321928094887363
accolad,0.0,5.0
accommid,0.0,2.5
accommod,3.798794064681797,2.9203673004336506
accomod,3.321928094887363,3.321928094887363
accompani,2.6301168673979136,4.271985235273362
accomplish,2.780676548656648,4.009474691134076
accoplish,0.0,2.5
accord,5.8278197069129405,2.056493377784746
accordian,8.003922779651097,1.6609640474436815
accordion,0.0,2.5
accorid,2.5,0.0
accost,10.0,0.0
accostum,2.5,0.0
account,4.212993519393615,2.6619559702796276
accountbas,0.0,2.5
accoust,3.321928094887363,3.321928094887363
accout,2.5,0.0
accredit,2.5,0.0
accrur,2.5,0.0
accsess,0.0,2.5
acctual,2.51294159473206,4.507575551943847
acctuali,2.5,0.0
accu,5.678873587267573,2.095903274289385
accugreen,2.5,0.0
accuir,2.5,0.0
accultur,0.0,2.5
accumul,3.662986595046085,3.0212099296053805
accur,3.0623689930493327,3.6110004199072567
accuraci,7.5,0.0
accuratetri,2.5,0.0
accurr,5.678873587267573,2.095903274289385
accus,2.0486906613251517,5.858360296446877
accusplit,7.5,0.0
accustom,3.321928094887363,3.321928094887363
accut,2.5,0.0
acdc,3.321928094887363,3.321928094887363
acdelco,0.0,2.5
ace,4.1145820804822515,2.717562737549928
acedem,0.0,2.5
acerb,1.6609640474436815,8.003922779651097
acess,0.0,2.5
ach,2.162639121587463,5.445306345465875
acheiv,4.507575551943847,2.51294159473206
achi,2.5,0.0
achicken,0.0,2.5
achiev,2.697847133434005,4.148825575958425
achild,2.5,0.0
achill,2.5,0.0
achiv,0.0,2.5
achohol,0.0,2.5
achtung,1.4306765580733931,10.318851158516171
acid,2.6619559702796276,4.212993519393615
acidophillus,2.5,0.0
acious,2.5,0.0
acivil,2.5,0.0
acknowledg,7.8106807468921415,1.686577808666188
acknowledgeit,2.5,0.0
ackroyd,0.0,12.5
ackward,2.5,0.0
acl,0.0,2.5
acn,0.0,27.5
acommod,2.5,0.0
acompa,0.0,2.5
acondit,0.0,2.5
acontecimiento,0.0,2.5
acoord,2.5,0.0
acopi,2.5,0.0
acord,0.0,2.5
acorn,8.003922779651097,1.6609640474436815
acoust,1.7721967586109773,7.230516925979993
acoustic,2.5,0.0
acqir,2.5,0.0
acquaint,1.9535700439406751,6.261707715779571
acquir,2.128465601847146,5.562124900450233
acquit,0.0,2.5
acr,1.285097208938469,12.62925313651334
acrid,3.321928094887363,3.321928094887363
acrobat,8.003922779651097,1.6609640474436815
acroo,2.5,0.0
across,8.003922779651097,1.6609640474436815
acrost,0.0,2.5
acryl,1.530895350152348,9.162168319362612
act,5.223032826971994,2.232513238336243
actaulli,5.678873587267573,2.095903274289385
acti,2.5,0.0
actic,0.0,2.5
actingstupid,2.5,0.0
action,2.5,0.0
actionscript,0.0,5.0
actiontec,5.0,0.0
activ,3.719611071037446,2.978033117136071
activex,2.5,0.0
activi,0.0,2.5
activist,2.5,0.0
acto,5.0,0.0
actoin,0.0,2.5
actor,2.095903274289385,5.678873587267573
actress,4.507575551943847,2.51294159473206
actshoal,2.5,0.0
actual,4.886092677442687,2.3525757218756524
actuali,4.1145820804822515,2.717562737549928
actualit,0.0,2.5
actuallybrought,2.5,0.0
actuallynot,2.5,0.0
actuar,2.5,0.0
actuat,0.0,2.5
actuli,2.5,0.0
actullay,0.0,2.5
actulli,15.0,0.0
acual,3.321928094887363,3.321928094887363
acultur,0.0,2.5
acur,2.4097933153777453,4.742632390555292
acuret,2.5,0.0
acus,0.0,5.0
acuss,0.0,2.5
acust,0.0,2.5
acustom,2.5,0.0
acut,2.51294159473206,4.507575551943847
acutu,5.0,0.0
acv,2.5,0.0
ad,2.7376941938824353,4.0803237795426375
ada,7.5,0.0
adaba,0.0,5.0
adagio,2.5,0.0
adah,0.0,2.5
adam,2.8394367936337863,3.9173823267621817
adamantium,2.5,0.0
adapt,3.896951267271811,2.85294203250774
adaptec,2.5,0.0
adapterfor,0.0,2.5
adasql,0.0,2.5
adavnc,0.0,2.5
aday,5.0,0.0
add,2.4821071862270236,4.574898506000991
addam,7.5,0.0
addcaptiv,2.5,0.0
addel,0.0,2.5
addendom,2.5,0.0
addendum,2.5,0.0
addict,1.596374729570055,8.53873261058156
addion,2.5,0.0
addit,3.2749157202479906,3.36982633196475
addl,3.321928094887363,3.321928094887363
addor,2.5,0.0
addres,0.0,2.5
address,3.363946968708738,3.2805925086197636
adel,2.5,0.0
adelight,0.0,2.5
adelin,2.5,0.0
adenoid,5.0,0.0
adept,1.1073093649624544,17.243773525740824
adequ,4.809704714203529,2.3825419732746944
adequit,0.0,2.5
adf,0.0,2.5
adhd,1.6609640474436815,8.003922779651097
adher,3.321928094887363,3.321928094887363
adhes,5.678873587267573,2.095903274289385
adibl,0.0,2.5
adict,0.0,5.0
adida,2.5,0.0
adio,5.0,0.0
adjac,4.507575551943847,2.51294159473206
adject,6.4556962358128835,1.9124892893931982
adjoin,2.5,0.0
adjunct,0.0,2.5
adjust,2.8147569971783164,3.955416650042268
adjut,0.0,2.5
adk,2.5,0.0
adm,0.0,2.5
adment,2.5,0.0
admin,5.678873587267573,2.095903274289385
administ,3.321928094887363,3.321928094887363
administr,3.321928094887363,3.321928094887363
adminr,2.5,0.0
admir,2.2445567155032013,5.186803975526512
admirib,0.0,2.5
admist,0.0,2.5
admistr,2.5,0.0
admit,4.236913916777009,2.6489154718064127
admitedlli,2.5,0.0
admitt,2.5,0.0
admonish,5.678873587267573,2.095903274289385
adn,3.321928094887363,3.321928094887363
ado,8.003922779651097,1.6609640474436815
adob,5.678873587267573,2.095903274289385
adobt,0.0,2.5
adolec,3.321928094887363,3.321928094887363
adolesc,4.507575551943847,2.51294159473206
adolf,2.5,0.0
adolosc,2.5,0.0
adolph,3.321928094887363,3.321928094887363
adopt,1.5011014535921923,9.477758020992301
ador,2.084010145780608,5.722912433445575
adorama,0.0,5.0
adorn,8.003922779651097,1.6609640474436815
adout,0.0,2.5
adquirido,0.0,2.5
adquirirlo,0.0,2.5
adren,2.5,0.0
adrenalin,0.0,7.5
adrian,4.1145820804822515,2.717562737549928
adriana,0.0,2.5
adriann,2.5,0.0
adrien,8.003922779651097,1.6609640474436815
adrienn,2.5,0.0
adriv,2.5,0.0
adroit,0.0,7.5
adsens,2.5,0.0
adsorb,2.5,0.0
adter,2.5,0.0
adtmit,0.0,2.5
adult,2.51294159473206,4.507575551943847
adulter,5.0,0.0
adulteress,5.0,0.0
adulteri,0.0,7.5
adulthood,2.51294159473206,4.507575551943847
adultish,2.5,0.0
adultri,2.5,0.0
adust,0.0,2.5
adv,2.095903274289385,5.678873587267573
advanc,2.8315280615301366,3.9294712989666603
advantag,3.321928094887363,3.321928094887363
advantix,2.095903274289385,5.678873587267573
advent,5.0,0.0
adventer,1.4306765580733931,10.318851158516171
adventouro,0.0,2.5
adventur,1.6462124137322511,8.11983684805969
adventuri,2.5,0.0
adverb,2.5,0.0
adveris,2.5,0.0
advers,4.507575551943847,2.51294159473206
adversari,0.0,5.0
adversli,0.0,2.5
advert,8.003922779651097,1.6609640474436815
advertain,2.5,0.0
adverties,2.5,0.0
advertis,5.275987352599775,2.2152522780605155
advertisedat,2.5,0.0
advertisedmbl,2.5,0.0
advertori,2.5,0.0
advic,2.51294159473206,4.507575551943847
advid,0.0,5.0
advis,6.304301716266181,1.944311263705242
advisari,0.0,2.5
advisedto,0.0,2.5
adviseus,0.0,2.5
advisor,5.0,0.0
advisori,2.095903274289385,5.678873587267573
advoc,5.289431441108701,2.2109333391015227
advs,0.0,2.5
ae,17.5,0.0
aeaeae,0.0,2.5
aebersold,0.0,2.5
aeri,2.5,0.0
aerial,2.095903274289385,5.678873587267573
aerith,2.5,0.0
aerob,1.285097208938469,12.62925313651334
aerodynam,0.0,2.5
aerogarden,2.5,0.0
aerosmith,12.62925313651334,1.285097208938469
aersomith,2.5,0.0
aeryn,0.0,5.0
aesop,2.5,0.0
aesthet,3.321928094887363,3.321928094887363
aesthetician,2.5,0.0
aesthic,0.0,2.5
aether,2.5,0.0
aewsom,0.0,2.5
af,0.0,5.0
afantast,0.0,2.5
afarid,2.5,0.0
afe,0.0,2.5
afeitadora,0.0,5.0
afeitan,0.0,2.5
afeitandom,0.0,2.5
afer,2.5,0.0
afew,2.5,0.0
affac,0.0,2.5
affair,2.5,0.0
affect,2.501349794820105,4.532605462189978
affection,2.095903274289385,5.678873587267573
afficionado,2.5,0.0
affili,8.003922779651097,1.6609640474436815
affirm,2.3475901497877913,4.899079389427794
affix,4.507575551943847,2.51294159473206
affleck,3.321928094887363,3.321928094887363
afflict,2.095903274289385,5.678873587267573
affluent,0.0,2.5
afford,2.470149987380646,4.601657606323618
afforment,0.0,2.5
affort,3.321928094887363,3.321928094887363
affront,0.0,2.5
afghan,5.0,0.0
afghanistan,0.0,2.5
afi,3.321928094887363,3.321928094887363
aficionado,0.0,2.5
afield,2.5,0.0
afilm,0.0,2.5
afin,0.0,2.5
afix,5.678873587267573,2.095903274289385
afloat,3.321928094887363,3.321928094887363
afoot,0.0,2.5
aford,0.0,2.5
aforement,8.003922779651097,1.6609640474436815
afraid,3.871796827380109,2.869813941784957
africa,2.305977577770878,5.010714036395447
african,2.149511270882403,5.489516466066784
afrika,0.0,2.5
afrikaa,2.5,0.0
afro,1.530895350152348,9.162168319362612
aft,0.0,2.5
aftaid,2.5,0.0
aften,0.0,2.5
afteral,2.5,0.0
afterglow,0.0,2.5
afteri,2.5,0.0
afterlif,0.0,7.5
aftermarket,0.0,5.0
aftermath,5.0,0.0
aftermayb,2.5,0.0
afterread,0.0,2.5
afterschool,2.5,0.0
afterse,2.5,0.0
aftershav,2.095903274289385,5.678873587267573
afterth,0.0,5.0
afterthought,8.003922779651097,1.6609640474436815
afterward,1.7247814630066518,7.540024413314111
afterword,0.0,2.5
aftyer,2.5,0.0
aful,2.5,0.0
afwul,2.5,0.0
agahst,2.5,0.0
again,3.4868288054686625,3.1670727087156147
againi,2.5,0.0
againth,2.5,0.0
againwith,0.0,2.5
agaisnt,0.0,2.5
agaist,2.5,0.0
aganis,5.0,0.0
agap,2.5,0.0
agat,0.0,2.5
agatha,1.4777736715355747,9.740670059931523
agav,0.0,2.5
age,3.4017291669698793,3.244556005077779
agel,2.5,0.0
ageless,0.0,15.0
agem,2.5,0.0
agenda,4.507575551943847,2.51294159473206
agent,1.8380053935977752,6.8433137786230045
ageold,0.0,2.5
ager,2.5,0.0
agey,5.0,0.0
aggeiv,2.5,0.0
agghh,0.0,2.5
aggrand,15.0,0.0
aggrandis,2.5,0.0
aggrav,26.463034750828918,0.9266284080291269
aggres,2.095903274289385,5.678873587267573
aggress,3.171880042295375,3.481388534756018
aggrev,0.0,2.5
aggriv,0.0,2.5
agh,2.5,0.0
aghast,5.0,0.0
agian,2.095903274289385,5.678873587267573
agil,0.0,2.5
agit,10.318851158516171,1.4306765580733931
agn,0.0,2.5
agnelli,0.0,2.5
agnost,3.321928094887363,3.321928094887363
ago,3.1073134924935473,3.5563314068068888
agog,3.321928094887363,3.321928094887363
agoi,3.321928094887363,3.321928094887363
agon,10.318851158516171,1.4306765580733931
agoni,2.5,0.0
agonis,5.0,0.0
agood,0.0,5.0
agp,0.0,2.5
agrarian,5.0,0.0
agrav,0.0,5.0
agre,4.790456180991109,2.390270565985346
agreat,3.321928094887363,3.321928094887363
agreeabl,0.0,2.5
agreewith,0.0,2.5
agress,1.285097208938469,12.62925313651334
agribusi,2.5,0.0
agricultur,3.321928094887363,3.321928094887363
agru,3.321928094887363,3.321928094887363
agua,0.0,2.5
aguascalienteswher,0.0,2.5
aguilera,2.5,0.0
ah,2.2537877759719245,5.159425579258086
aha,2.095903274289385,5.678873587267573
ahab,0.0,5.0
ahappi,0.0,5.0
ahd,2.5,0.0
ahead,3.012056240894145,3.6748085202516863
ahem,5.0,0.0
ahern,2.5,0.0
ahh,2.3475901497877913,4.899079389427794
ahhh,1.8380053935977752,6.8433137786230045
ahhhh,3.321928094887363,3.321928094887363
ahhhhhh,0.0,2.5
ahhhhhhhhhhhhhh,0.0,2.5
ahigh,2.5,0.0
ahistor,2.5,0.0
ahm,2.5,0.0
ahold,3.321928094887363,3.321928094887363
ahora,3.321928094887363,3.321928094887363
ahorrifi,0.0,2.5
ahoy,2.5,0.0
ahv,2.5,0.0
ai,4.271985235273362,2.6301168673979136
aibo,0.0,2.5
aid,3.5609161165707097,3.103476471903321
aida,2.5,0.0
aidan,0.0,7.5
aiello,2.5,0.0
aight,3.321928094887363,3.321928094887363
aiight,2.5,0.0
aiken,1.7057111797877027,7.672608653514963
aikido,5.678873587267573,2.095903274289385
ail,2.095903274289385,5.678873587267573
aim,3.5268484076708555,3.1322941756965164
aime,5.678873587267573,2.095903274289385
aimless,7.423983573584705,1.7420653825330148
ain,5.0211752217048105,2.3021886196128767
aint,3.321928094887363,3.321928094887363
aip,2.5,0.0
air,3.0010682689456636,3.689127928018137
airb,1.8380053935977752,6.8433137786230045
airbak,0.0,2.5
airborn,0.0,5.0
airboss,2.5,0.0
airbrush,5.678873587267573,2.095903274289385
aircraft,2.5,0.0
aird,2.5,0.0
airfram,0.0,2.5
airhead,7.5,0.0
airi,1.530895350152348,9.162168319362612
airless,2.5,0.0
aironet,2.5,0.0
airplan,2.095903274289385,5.678873587267573
airplay,2.095903274289385,5.678873587267573
airport,5.678873587267573,2.095903274289385
airportman,0.0,2.5
airportswher,2.5,0.0
airsoft,1.6609640474436815,8.003922779651097
airspac,0.0,2.5
airtight,6.8433137786230045,1.8380053935977752
airtim,2.5,0.0
airtran,2.5,0.0
airway,2.5,0.0
aisl,2.51294159473206,4.507575551943847
ait,2.5,0.0
aix,0.0,2.5
aj,5.678873587267573,2.095903274289385
aja,2.5,0.0
ajohnson,2.5,0.0
ajok,2.5,0.0
ajust,3.321928094887363,3.321928094887363
ak,0.0,2.5
aka,1.9124892893931982,6.4556962358128835
akc,1.6609640474436815,8.003922779651097
ake,0.0,2.5
aken,0.0,2.5
akerfeldt,0.0,2.5
akermandirect,0.0,2.5
akg,5.0,0.0
akin,7.423983573584705,1.7420653825330148
akinshina,0.0,2.5
akira,5.678873587267573,2.095903274289385
aknowledg,5.678873587267573,2.095903274289385
akrid,0.0,2.5
akrobatik,0.0,2.5
akward,4.507575551943847,2.51294159473206
akzeptablen,2.5,0.0
al,3.5779414751942307,3.0893376487058255
ala,26.463034750828918,0.9266284080291269
alabama,10.318851158516171,1.4306765580733931
alabina,2.5,0.0
aladdin,8.003922779651097,1.6609640474436815
aladin,3.321928094887363,3.321928094887363
alagna,0.0,2.5
alagor,0.0,2.5
alain,0.0,5.0
alamo,0.0,5.0
alan,4.977233071284041,2.318229028693822
alana,0.0,5.0
alani,4.507575551943847,2.51294159473206
alanjay,2.5,0.0
alarm,8.776290847640777,1.5702972679322118
alarmist,5.678873587267573,2.095903274289385
alaska,2.095903274289385,5.678873587267573
alaskan,1.285097208938469,12.62925313651334
alaway,0.0,2.5
alazhar,0.0,2.5
alba,8.003922779651097,1.6609640474436815
albabian,0.0,2.5
alban,0.0,10.0
albanian,0.0,5.0
albeit,2.2761793375349226,5.094382474196232
albert,2.4097933153777453,4.742632390555292
albiet,2.5,0.0
alblum,0.0,2.5
albolen,0.0,2.5
albom,17.5,0.0
albrecht,0.0,2.5
albright,2.5,0.0
albu,0.0,2.5
album,2.4178420054094336,4.723242256918947
albumand,0.0,2.5
albumb,2.5,0.0
albumdeep,0.0,2.5
albumrec,2.5,0.0
albun,2.5,0.0
albuquerqu,0.0,2.5
alcatraz,10.0,0.0
alcatrazhistori,2.5,0.0
alchem,0.0,2.5
alchemi,0.0,2.5
alchoh,2.5,0.0
alchol,0.0,2.5
alcohol,4.271985235273362,2.6301168673979136
alcott,0.0,15.0
aldo,0.0,2.5
aldous,0.0,10.0
aldrich,2.5,0.0
aleadi,2.5,0.0
alearn,2.5,0.0
alec,1.4306765580733931,10.318851158516171
alengthi,0.0,2.5
aleradi,2.5,0.0
alert,6.34486149433979,1.9356220019364556
alertwatch,0.0,2.5
alesandra,0.0,2.5
aletha,0.0,5.0
alex,2.51294159473206,4.507575551943847
alexadra,2.5,0.0
alexand,5.678873587267573,2.095903274289385
alexandr,2.095903274289385,5.678873587267573
alexandra,5.0,0.0
alexi,0.0,5.0
alf,2.5,0.0
alfalfa,2.5,0.0
alfi,3.321928094887363,3.321928094887363
alfonso,5.0,0.0
alfr,3.103476471903321,3.5609161165707097
alfredo,7.5,0.0
algaesaf,0.0,2.5
algebra,3.321928094887363,3.321928094887363
alger,0.0,2.5
algerian,0.0,5.0
algonquian,0.0,2.5
algonquin,2.5,0.0
algorithm,15.0,0.0
alguna,0.0,5.0
alhambra,2.5,0.0
alhough,2.5,0.0
ali,2.51294159473206,4.507575551943847
alias,0.0,2.5
alic,3.0212099296053805,3.662986595046085
alicia,2.717562737549928,4.1145820804822515
alien,3.932570693784686,2.8295101430371883
alienest,2.5,0.0
align,3.9173823267621817,2.8394367936337863
alik,1.6789062251283615,7.867523593640165
alist,0.0,2.5
alittl,1.8687634631850907,6.677246972230794
aliv,1.9554206042219457,6.253270454042893
aliz,0.0,5.0
alkal,3.321928094887363,3.321928094887363
alkalin,8.003922779651097,1.6609640474436815
all,3.9754376379540246,2.802000974010822
alla,2.5,0.0
allah,3.321928094887363,3.321928094887363
allan,2.095903274289385,5.678873587267573
allay,0.0,7.5
allblu,2.5,0.0
allcost,2.5,0.0
alledg,2.5,0.0
alleg,13.206425930125748,1.25647079736603
allegheni,0.0,2.5
allegor,2.8394367936337863,3.9173823267621817
allegori,2.5,0.0
allegr,0.0,2.5
allem,0.0,2.5
allen,2.437986966796919,4.675522918696934
allend,6.8433137786230045,1.8380053935977752
allenperenni,0.0,2.5
allerg,5.211440485380426,2.2363458328106818
allergi,12.62925313651334,1.285097208938469
alleveryth,0.0,2.5
allevi,1.285097208938469,12.62925313651334
alley,5.0,0.0
alli,6.0675838318038835,1.997593496840355
allintend,0.0,2.5
allish,2.5,0.0
allison,1.4306765580733931,10.318851158516171
alliv,0.0,2.5
alll,2.5,0.0
allllllll,0.0,2.5
allman,4.507575551943847,2.51294159473206
allmost,2.5,0.0
allmus,0.0,5.0
allo,0.0,7.5
alloc,10.318851158516171,1.4306765580733931
allong,2.5,0.0
allot,3.321928094887363,3.321928094887363
allotta,0.0,2.5
allow,3.156842567735048,3.498479075785457
allowedto,2.5,0.0
allreadi,1.6609640474436815,8.003922779651097
allreview,0.0,2.5
allright,12.62925313651334,1.285097208938469
allsing,0.0,2.5
allso,2.5,0.0
allsop,0.0,2.5
allspic,0.0,2.5
allth,4.507575551943847,2.51294159473206
alltim,0.0,7.5
alltogeth,3.321928094887363,3.321928094887363
allud,6.4556962358128835,1.9124892893931982
allur,2.2761793375349226,5.094382474196232
allway,0.0,7.5
allwritten,0.0,2.5
allyn,3.321928094887363,3.321928094887363
allyou,0.0,2.5
alma,3.321928094887363,3.321928094887363
almanac,3.321928094887363,3.321928094887363
almanzo,2.5,0.0
almighti,2.5,0.0
almod,0.0,2.5
almodovar,0.0,5.0
almond,2.5,0.0
almost,3.8702821845000557,2.870838605793172
almostcertain,2.5,0.0
almostident,2.5,0.0
almostno,2.5,0.0
almsot,2.5,0.0
alo,5.0,0.0
alofa,0.0,2.5
aloft,0.0,2.5
alogitech,0.0,5.0
alogrithm,2.5,0.0
aloha,3.321928094887363,3.321928094887363
alon,3.068366994449273,3.603580575874265
along,2.425392454414148,4.705222061522874
alongdorothi,0.0,2.5
alongsid,1.1073093649624544,17.243773525740824
alongwait,2.5,0.0
alongwith,2.5,0.0
alonzo,0.0,5.0
aloof,1.6609640474436815,8.003922779651097
alos,2.5,0.0
alot,2.3475901497877913,4.899079389427794
alotof,0.0,2.5
aloud,1.6134529492945238,8.39021847487761
alous,0.0,2.5
alousi,2.5,0.0
alow,3.321928094887363,3.321928094887363
alpaca,0.0,2.5
alpha,3.662986595046085,3.0212099296053805
alphabet,1.530895350152348,9.162168319362612
alphons,0.0,2.5
alpin,2.5,0.0
alradi,0.0,2.5
alreadi,4.229568286527087,2.6529009103970784
alreadybeen,0.0,5.0
alreadydon,2.5,0.0
alredi,5.0,0.0
alright,5.01929762924919,2.302867314029598
alrit,3.321928094887363,3.321928094887363
alseep,2.5,0.0
alsmost,2.5,0.0
also,2.6817892377781254,4.177237320914975
alsob,2.5,0.0
alsobeliev,0.0,2.5
alsohigh,0.0,2.5
alsolik,2.5,0.0
alsom,0.0,5.0
alsono,0.0,2.5
alsoth,0.0,2.5
alsotrap,2.5,0.0
alsoveri,0.0,2.5
alt,2.095903274289385,5.678873587267573
altar,2.5,0.0
altec,1.285097208938469,12.62925313651334
alteern,0.0,2.5
alten,0.0,2.5
alter,3.633420802575157,3.044434334926917
alterior,0.0,2.5
alterman,0.0,2.5
altern,3.1078149327093807,3.5557333709843792
alterna,3.321928094887363,3.321928094887363
alternativish,2.5,0.0
alternit,0.0,2.5
alterta,0.0,2.5
althea,2.5,0.0
altho,0.0,5.0
althoughsom,0.0,2.5
althought,0.0,5.0
althoughth,2.5,0.0
althougth,0.0,2.5
altim,0.0,2.5
altima,2.5,0.0
altman,10.318851158516171,1.4306765580733931
alto,0.0,12.5
altogeth,6.659761605561007,1.8720991039622632
alton,0.0,2.5
altonya,0.0,2.5
altruist,3.321928094887363,3.321928094887363
altura,0.0,2.5
alucard,0.0,2.5
alucius,0.0,2.5
aluminim,0.0,2.5
aluminum,3.321928094887363,3.321928094887363
alv,5.0,0.0
alvin,12.5,0.0
alwa,3.321928094887363,3.321928094887363
alwasi,0.0,7.5
alway,2.164954176729735,5.4375940873431565
alwaysa,0.0,2.5
alwayssaid,0.0,2.5
alwaysvelcro,0.0,2.5
alwayswork,0.0,2.5
alyson,3.321928094887363,3.321928094887363
alyx,2.5,0.0
alzheim,3.321928094887363,3.321928094887363
am,3.683879201116864,3.0050833051553463
ama,2.5,0.0
amaaaz,0.0,2.5
amadeus,0.0,10.0
amaiz,0.0,2.5
amalgam,0.0,2.5
amamz,0.0,2.5
amanda,0.0,15.0
amanu,2.5,0.0
amarantin,3.321928094887363,3.321928094887363
amaretti,0.0,2.5
amarga,2.5,0.0
amarillo,2.5,0.0
amaru,0.0,2.5
amas,0.0,2.5
amass,5.678873587267573,2.095903274289385
amaterish,0.0,2.5
amateur,3.9485548495423557,2.8191658368867367
amateurish,57.556951222339265,0.710964403229116
amatuerish,5.0,0.0
amatur,3.321928094887363,3.321928094887363
amaturish,10.0,0.0
amaturist,2.5,0.0
amaz,1.3047446323379277,12.260428514227101
amazaon,2.5,0.0
amazi,0.0,2.5
amazin,0.0,5.0
amazinf,0.0,2.5
amazing,0.0,2.5
