,negative,neutral,positive,total
airhead,1.0,0.0,1.0,2.0
airi,1.0,0.0,0.0,1.0
airless,1.0,0.0,0.0,1.0
airtim,0.0,0.0,1.0,1.0
aisl,1.0,0.0,0.0,1.0
akin,3.0,1.0,1.0,5.0
akira,0.0,0.0,1.0,1.0
al,1.0,0.0,0.0,1.0
ala,2.0,1.0,0.0,3.0
alabama,1.0,0.0,0.0,1.0
alain,1.0,0.0,0.0,1.0
alarm,1.0,1.0,1.0,3.0
album,1.0,0.0,0.0,1.0
alcatraz,1.0,0.0,0.0,1.0
alchem,1.0,0.0,0.0,1.0
alcohol,0.0,1.0,0.0,1.0
aldrich,1.0,0.0,0.0,1.0
alert,2.0,0.0,0.0,2.0
alex,0.0,1.0,0.0,1.0
alexandr,2.0,0.0,0.0,2.0
alfonso,1.0,0.0,0.0,1.0
alfr,3.0,1.0,0.0,4.0
ali,2.0,0.0,0.0,2.0
alia,0.0,1.0,0.0,1.0
alien,7.0,2.0,2.0,11.0
alik,4.0,0.0,0.0,4.0
aliv,13.0,7.0,1.0,21.0
all,1.0,0.0,0.0,1.0
alleg,3.0,3.0,0.0,6.0
allegor,0.0,1.0,0.0,1.0
allen,13.0,3.0,1.0,17.0
alli,2.0,1.0,0.0,3.0
allison,1.0,0.0,0.0,1.0
allodi,0.0,0.0,1.0,1.0
allow,30.0,5.0,2.0,37.0
allur,3.0,0.0,0.0,3.0
almod,0.0,1.0,0.0,1.0
almodovar,1.0,0.0,0.0,1.0
almost,92.0,23.0,12.0,127.0
aloft,1.0,0.0,1.0,2.0
alon,18.0,6.0,3.0,27.0
along,11.0,2.0,1.0,14.0
alongsid,0.0,1.0,0.0,1.0
alreadi,35.0,8.0,1.0,44.0
also,115.0,24.0,14.0,153.0
alt,1.0,0.0,0.0,1.0
alter,3.0,0.0,1.0,4.0
altern,15.0,1.0,1.0,17.0
altman,2.0,0.0,0.0,2.0
altogeth,5.0,0.0,2.0,7.0
alway,50.0,19.0,4.0,73.0
alzheim,0.0,1.0,0.0,1.0
am,9.0,2.0,2.0,13.0
amalgam,0.0,1.0,0.0,1.0
amass,1.0,0.0,0.0,1.0
amateur,1.0,1.0,0.0,2.0
amateurish,14.0,1.0,2.0,17.0
amaz,20.0,7.0,3.0,30.0
ambigu,5.0,1.0,0.0,6.0
ambiti,25.0,5.0,1.0,31.0
ambival,1.0,0.0,0.0,1.0
ambl,1.0,0.0,1.0,2.0
ambros,1.0,1.0,0.0,2.0
america,9.0,3.0,0.0,12.0
american,81.0,25.0,15.0,121.0
ami,5.0,2.0,0.0,7.0
amiabl,6.0,0.0,1.0,7.0
amic,1.0,0.0,0.0,1.0
amidst,1.0,0.0,0.0,1.0
amish,1.0,0.0,0.0,1.0
amiss,1.0,0.0,0.0,1.0
amongst,0.0,1.0,0.0,1.0
amor,2.0,0.0,0.0,2.0
amount,3.0,1.0,0.0,4.0
amp,0.0,0.0,1.0,1.0
ampl,2.0,1.0,0.0,3.0
amus,51.0,14.0,8.0,73.0
ana,2.0,1.0,0.0,3.0
anachronist,5.0,1.0,0.0,6.0
analges,1.0,0.0,0.0,1.0
analyt,3.0,0.0,0.0,3.0
analyz,2.0,1.0,0.0,3.0
anarch,1.0,0.0,2.0,3.0
anarchi,1.0,0.0,0.0,1.0
anatom,1.0,0.0,0.0,1.0
anchor,4.0,1.0,4.0,9.0
ancient,3.0,1.0,0.0,4.0
ancillari,1.0,0.0,0.0,1.0
anderson,0.0,1.0,0.0,1.0
andi,0.0,1.0,1.0,2.0
andrei,1.0,0.0,0.0,1.0
andrew,0.0,1.0,1.0,2.0
android,1.0,0.0,0.0,1.0
anem,4.0,0.0,0.0,4.0
angel,2.0,2.0,0.0,4.0
angela,2.0,0.0,0.0,2.0
angeliqu,1.0,0.0,0.0,1.0
anger,2.0,0.0,0.0,2.0
angl,1.0,0.0,0.0,1.0
angri,5.0,1.0,1.0,7.0
angst,2.0,3.0,0.0,5.0
anguish,5.0,0.0,0.0,5.0
anim,32.0,10.0,2.0,44.0
animatron,3.0,0.0,0.0,3.0
ankl,1.0,0.0,0.0,1.0
ann,8.0,0.0,2.0,10.0
anni,1.0,0.0,0.0,1.0
anniversari,1.0,0.0,0.0,1.0
annoy,13.0,4.0,1.0,18.0
annual,1.0,0.0,0.0,1.0
anonym,2.0,0.0,0.0,2.0
anspaugh,0.0,0.0,1.0,1.0
answer,2.0,0.0,0.0,2.0
ant,1.0,0.0,0.0,1.0
anthoni,1.0,1.0,0.0,2.0
anthropolog,0.0,1.0,0.0,1.0
anthropomorph,1.0,0.0,0.0,1.0
anti,10.0,1.0,1.0,12.0
antic,1.0,0.0,0.0,1.0
anticip,3.0,1.0,0.0,4.0
antiqu,1.0,0.0,0.0,1.0
antisept,1.0,1.0,0.0,2.0
antitrust,1.0,0.0,0.0,1.0
antonia,1.0,0.0,0.0,1.0
antonio,1.0,0.0,0.0,1.0
antsi,1.0,0.0,0.0,1.0
antwon,1.0,0.0,0.0,1.0
anxious,1.0,1.0,0.0,2.0
anymor,1.0,1.0,0.0,2.0
anytim,0.0,1.0,0.0,1.0
anyway,6.0,3.0,1.0,10.0
anywher,5.0,3.0,2.0,10.0
apal,0.0,1.0,0.0,1.0
apart,17.0,3.0,2.0,22.0
ape,1.0,0.0,0.0,1.0
aplenti,2.0,0.0,0.0,2.0
apolit,0.0,1.0,0.0,1.0
appal,4.0,1.0,2.0,7.0
appar,20.0,5.0,1.0,26.0
appeal,32.0,7.0,8.0,47.0
appear,27.0,6.0,6.0,39.0
appeas,0.0,1.0,0.0,1.0
appet,1.0,0.0,0.0,1.0
applaud,1.0,3.0,0.0,4.0
appli,7.0,2.0,2.0,11.0
appoint,2.0,0.0,1.0,3.0
appreci,14.0,4.0,3.0,21.0
approach,7.0,0.0,2.0,9.0
appropri,9.0,2.0,3.0,14.0
april,1.0,0.0,0.0,1.0
apt,4.0,4.0,0.0,8.0
aquat,0.0,2.0,0.0,2.0
aragorn,1.0,0.0,0.0,1.0
ararat,2.0,0.0,0.0,2.0
arbitrari,3.0,0.0,0.0,3.0
arbitrarili,1.0,0.0,0.0,1.0
arcan,1.0,0.0,0.0,1.0
arch,1.0,0.0,0.0,1.0
archetyp,1.0,0.0,0.0,1.0
architectur,0.0,1.0,1.0,2.0
archiv,3.0,2.0,1.0,6.0
arctic,1.0,0.0,0.0,1.0
ardent,4.0,0.0,0.0,4.0
arduous,2.0,0.0,0.0,2.0
are,515.0,153.0,70.0,738.0
arena,0.0,1.0,0.0,1.0
argentin,3.0,0.0,0.0,3.0
argentinean,1.0,0.0,0.0,1.0
argentinian,1.0,0.0,0.0,1.0
argento,1.0,0.0,0.0,1.0
argu,9.0,0.0,0.0,9.0
arguabl,2.0,2.0,0.0,4.0
argument,1.0,0.0,0.0,1.0
aris,2.0,0.0,0.0,2.0
aristocrat,0.0,0.0,1.0,1.0
arithmet,0.0,1.0,0.0,1.0
arliss,1.0,0.0,1.0,2.0
arm,3.0,0.0,0.0,3.0
armenian,1.0,2.0,0.0,3.0
arni,1.0,0.0,0.0,1.0
arnold,6.0,3.0,2.0,11.0
around,10.0,0.0,0.0,10.0
arous,0.0,3.0,0.0,3.0
arrest,6.0,2.0,0.0,8.0
arriv,14.0,2.0,0.0,16.0
arrog,1.0,1.0,0.0,2.0
art,17.0,9.0,4.0,30.0
arteta,1.0,0.0,0.0,1.0
arthous,1.0,0.0,0.0,1.0
arthrit,0.0,0.0,1.0,1.0
arthur,2.0,0.0,0.0,2.0
arti,2.0,0.0,0.0,2.0
articul,4.0,1.0,0.0,5.0
artifact,0.0,1.0,0.0,1.0
artifici,10.0,0.0,1.0,11.0
artist,14.0,4.0,3.0,21.0
artless,1.0,0.0,0.0,1.0
artner,1.0,0.0,0.0,1.0
artsi,2.0,1.0,0.0,3.0
as,244.0,53.0,35.0,332.0
asay,0.0,1.0,0.0,1.0
ascend,2.0,0.0,0.0,2.0
ascertain,1.0,0.0,0.0,1.0
ash,1.0,0.0,0.0,1.0
asham,1.0,0.0,0.0,1.0
ashley,1.0,0.0,0.0,1.0
asian,4.0,2.0,2.0,8.0
asid,11.0,3.0,3.0,17.0
asinin,0.0,1.0,0.0,1.0
ask,23.0,2.0,3.0,28.0
asleep,3.0,0.0,0.0,3.0
aspir,4.0,2.0,0.0,6.0
ass,1.0,0.0,0.0,1.0
assassin,1.0,0.0,0.0,1.0
assault,1.0,0.0,0.0,1.0
assaya,2.0,0.0,0.0,2.0
assembl,6.0,2.0,1.0,9.0
assert,1.0,0.0,1.0,2.0
assess,2.0,0.0,0.0,2.0
assign,1.0,1.0,0.0,2.0
assimil,1.0,1.0,0.0,2.0
associ,4.0,1.0,0.0,5.0
assum,9.0,1.0,0.0,10.0
assur,14.0,2.0,1.0,17.0
astonish,13.0,4.0,1.0,18.0
astound,5.0,0.0,1.0,6.0
astring,0.0,1.0,0.0,1.0
astronom,1.0,0.0,0.0,1.0
astut,3.0,1.0,0.0,4.0
atavist,0.0,0.0,1.0,1.0
ate,1.0,0.0,0.0,1.0
atheist,0.0,0.0,1.0,1.0
athlet,2.0,1.0,0.0,3.0
atlant,3.0,0.0,0.0,3.0
atmospher,10.0,2.0,1.0,13.0
aton,0.0,1.0,0.0,1.0
atop,1.0,0.0,0.0,1.0
atroci,3.0,0.0,0.0,3.0
attach,3.0,1.0,0.0,4.0
attack,0.0,0.0,1.0,1.0
attal,5.0,3.0,0.0,8.0
attempt,7.0,2.0,1.0,10.0
attend,3.0,1.0,1.0,5.0
attent,1.0,1.0,0.0,2.0
attract,14.0,1.0,0.0,15.0
attribut,1.0,0.0,0.0,1.0
attun,1.0,0.0,0.0,1.0
atyp,1.0,0.0,0.0,1.0
audaci,6.0,1.0,1.0,8.0
audiard,2.0,0.0,0.0,2.0
audrey,1.0,0.0,0.0,1.0
augment,1.0,0.0,0.0,1.0
august,1.0,1.0,0.0,2.0
augustin,1.0,0.0,0.0,1.0
augustinian,1.0,0.0,0.0,1.0
aura,0.0,1.0,0.0,1.0
auschwitz,1.0,0.0,0.0,1.0
auspici,1.0,0.0,1.0,2.0
aussi,1.0,0.0,0.0,1.0
austen,2.0,0.0,0.0,2.0
auster,1.0,0.0,1.0,2.0
austin,2.0,1.0,1.0,4.0
australia,2.0,1.0,0.0,3.0
australian,3.0,1.0,0.0,4.0
austrian,1.0,0.0,0.0,1.0
auteil,1.0,0.0,0.0,1.0
auteuil,1.0,0.0,0.0,1.0
auteur,1.0,0.0,0.0,1.0
authent,12.0,5.0,1.0,18.0
autist,1.0,0.0,0.0,1.0
autobiograph,3.0,0.0,1.0,4.0
autom,0.0,1.0,0.0,1.0
automat,4.0,1.0,0.0,5.0
avail,3.0,0.0,0.0,3.0
avalanch,1.0,0.0,0.0,1.0
avant,3.0,0.0,0.0,3.0
avari,5.0,1.0,1.0,7.0
avaric,1.0,0.0,0.0,1.0
aveng,0.0,1.0,0.0,1.0
averag,12.0,6.0,1.0,19.0
avert,3.0,0.0,0.0,3.0
avi,0.0,1.0,0.0,1.0
avid,1.0,0.0,0.0,1.0
avoid,14.0,8.0,2.0,24.0
avuncular,1.0,0.0,0.0,1.0
aw,27.0,4.0,5.0,36.0
awak,2.0,0.0,0.0,2.0
awaken,2.0,0.0,0.0,2.0
awar,6.0,6.0,0.0,12.0
award,3.0,0.0,0.0,3.0
away,46.0,6.0,7.0,59.0
awe,4.0,0.0,0.0,4.0
awesom,2.0,1.0,3.0,6.0
awkward,13.0,3.0,2.0,18.0
awri,2.0,1.0,0.0,3.0
ayr,1.0,0.0,0.0,1.0
ayurveda,1.0,0.0,0.0,1.0
ba,1.0,0.0,0.0,1.0
babbitt,1.0,0.0,0.0,1.0
back,72.0,14.0,6.0,92.0
backhand,2.0,0.0,0.0,2.0
backward,1.0,0.0,0.0,1.0
bad,191.0,56.0,26.0,273.0
badder,1.0,0.0,0.0,1.0
baffl,10.0,2.0,0.0,12.0
bag,0.0,1.0,0.0,1.0
bailiwick,1.0,0.0,0.0,1.0
bailli,2.0,0.0,0.0,2.0
bake,4.0,1.0,1.0,6.0
balanc,11.0,4.0,2.0,17.0
bald,1.0,0.0,0.0,1.0
ballast,1.0,0.0,0.0,1.0
ballet,0.0,1.0,1.0,2.0
ballist,7.0,3.0,1.0,11.0
bam,0.0,0.0,1.0,1.0
banal,10.0,0.0,2.0,12.0
band,2.0,0.0,0.0,2.0
bandera,1.0,0.0,0.0,1.0
bang,4.0,2.0,0.0,6.0
bankrupt,2.0,0.0,0.0,2.0
bar,1.0,0.0,0.0,1.0
barb,1.0,0.0,0.0,1.0
barbecu,0.0,1.0,0.0,1.0
barbershop,2.0,0.0,0.0,2.0
bare,28.0,9.0,3.0,40.0
barf,1.0,0.0,0.0,1.0
bargain,1.0,0.0,0.0,1.0
bark,1.0,0.0,0.0,1.0
barn,1.0,0.0,0.0,1.0
baroqu,1.0,0.0,0.0,1.0
barrel,1.0,0.0,0.0,1.0
barri,4.0,1.0,0.0,5.0
barrymor,2.0,0.0,0.0,2.0
bartlebi,1.0,0.0,0.0,1.0
base,25.0,6.0,4.0,35.0
basement,1.0,0.0,0.0,1.0
basest,1.0,0.0,0.0,1.0
basic,17.0,3.0,2.0,22.0
bask,1.0,0.0,0.0,1.0
bast,0.0,1.0,0.0,1.0
bat,1.0,0.0,0.0,1.0
bath,1.0,0.0,0.0,1.0
batter,1.0,0.0,0.0,1.0
battl,0.0,1.0,0.0,1.0
battlefield,2.0,0.0,0.0,2.0
bawdi,1.0,1.0,0.0,2.0
be,800.0,221.0,92.0,1113.0
beach,0.0,1.0,0.0,1.0
beachcomb,1.0,0.0,0.0,1.0
bean,2.0,0.0,0.0,2.0
bear,13.0,1.0,0.0,14.0
bearabl,2.0,0.0,0.0,2.0
beard,1.0,0.0,0.0,1.0
beat,6.0,4.0,0.0,10.0
beauti,86.0,11.0,7.0,104.0
beavi,1.0,0.0,0.0,1.0
bebe,1.0,0.0,0.0,1.0
becalm,1.0,0.0,0.0,1.0
becam,2.0,3.0,0.0,5.0
becaus,1.0,0.0,0.0,1.0
becom,85.0,27.0,10.0,122.0
bed,1.0,0.0,0.0,1.0
bedevil,2.0,1.0,0.0,3.0
been,190.0,53.0,29.0,272.0
befal,0.0,1.0,0.0,1.0
befallen,1.0,0.0,0.0,1.0
befor,3.0,1.0,0.0,4.0
befuddl,2.0,0.0,0.0,2.0
beg,4.0,2.0,0.0,6.0
began,1.0,1.0,1.0,3.0
begin,27.0,12.0,2.0,41.0
begrudg,1.0,0.0,0.0,1.0
beguil,3.0,0.0,3.0,6.0
begun,2.0,0.0,0.0,2.0
behav,5.0,1.0,0.0,6.0
behavior,1.0,0.0,0.0,1.0
behold,7.0,0.0,1.0,8.0
beij,0.0,3.0,0.0,3.0
belat,0.0,1.0,0.0,1.0
belgian,1.0,0.0,1.0,2.0
belgium,1.0,0.0,0.0,1.0
believ,61.0,18.0,6.0,85.0
belittl,1.0,0.0,0.0,1.0
belli,9.0,0.0,0.0,9.0
belong,5.0,1.0,3.0,9.0
belov,3.0,2.0,0.0,5.0
belt,2.0,0.0,0.0,2.0
belushi,0.0,1.0,0.0,1.0
bemus,1.0,0.0,0.0,1.0
ben,1.0,3.0,0.0,4.0
bend,1.0,1.0,1.0,3.0
beneath,2.0,0.0,0.0,2.0
benefit,5.0,2.0,0.0,7.0
benign,0.0,0.0,1.0,1.0
benigni,4.0,1.0,0.0,5.0
bennett,0.0,1.0,1.0,2.0
benoit,0.0,1.0,0.0,1.0
bergmanesqu,1.0,0.0,0.0,1.0
beseech,1.0,0.0,0.0,1.0
besot,2.0,1.0,0.0,3.0
bespeak,1.0,0.0,0.0,1.0
besson,1.0,1.0,0.0,2.0
best,165.0,48.0,27.0,240.0
bestial,1.0,0.0,0.0,1.0
bestow,2.0,0.0,0.0,2.0
bet,2.0,1.0,1.0,4.0
betray,2.0,1.0,0.0,3.0
bettani,0.0,0.0,1.0,1.0
better,130.0,28.0,13.0,171.0
betti,1.0,0.0,0.0,1.0
bewar,1.0,0.0,0.0,1.0
bewild,4.0,0.0,1.0,5.0
bewitch,2.0,0.0,0.0,2.0
bias,2.0,0.0,0.0,2.0
bibl,4.0,0.0,0.0,4.0
biblic,1.0,0.0,1.0,2.0
bicentenni,1.0,0.0,0.0,1.0
bielinski,2.0,0.0,0.0,2.0
biennial,0.0,2.0,0.0,2.0
big,121.0,30.0,25.0,176.0
bigelow,1.0,0.0,0.0,1.0
bigger,8.0,5.0,1.0,14.0
biggest,11.0,2.0,0.0,13.0
bigot,0.0,1.0,0.0,1.0
bilingu,1.0,0.0,0.0,1.0
bilk,1.0,0.0,0.0,1.0
bill,2.0,1.0,0.0,3.0
billi,4.0,0.0,0.0,4.0
binari,1.0,0.0,0.0,1.0
bind,1.0,1.0,0.0,2.0
bing,1.0,0.0,0.0,1.0
bink,1.0,0.0,0.0,1.0
biograph,2.0,0.0,0.0,2.0
biolog,1.0,0.0,0.0,1.0
birot,1.0,0.0,0.0,1.0
birthday,2.0,0.0,0.0,2.0
bisexu,1.0,0.0,0.0,1.0
bit,20.0,6.0,1.0,27.0
bite,13.0,3.0,1.0,17.0
bitten,2.0,0.0,0.0,2.0
bitter,10.0,2.0,0.0,12.0
bittersweet,1.0,0.0,0.0,1.0
bizarr,13.0,5.0,1.0,19.0
bizzarr,0.0,0.0,1.0,1.0
bjarn,1.0,0.0,0.0,1.0
black,40.0,13.0,3.0,56.0
blacken,1.0,0.0,0.0,1.0
blade,4.0,0.0,0.0,4.0
blake,1.0,0.0,0.0,1.0
blame,4.0,0.0,0.0,4.0
bland,10.0,2.0,0.0,12.0
blank,1.0,0.0,0.0,1.0
blare,1.0,0.0,2.0,3.0
blasphem,2.0,0.0,0.0,2.0
blast,2.0,1.0,0.0,3.0
blatant,3.0,1.0,0.0,4.0
blaze,2.0,0.0,0.0,2.0
bleak,8.0,1.0,2.0,11.0
bled,2.0,0.0,0.0,2.0
bleed,1.0,0.0,0.0,1.0
blend,4.0,1.0,3.0,8.0
bless,2.0,2.0,1.0,5.0
blind,3.0,1.0,0.0,4.0
bling,1.0,0.0,0.0,1.0
bliss,1.0,0.0,0.0,1.0
blister,1.0,1.0,1.0,3.0
blith,2.0,1.0,0.0,3.0
bloat,3.0,0.0,1.0,4.0
blond,1.0,1.0,0.0,2.0
blood,5.0,0.0,0.0,5.0
bloodi,1.0,1.0,0.0,2.0
bloodless,0.0,1.0,0.0,1.0
bloodsh,2.0,1.0,0.0,3.0
blow,5.0,5.0,1.0,11.0
blown,6.0,1.0,1.0,8.0
bludgeon,1.0,1.0,0.0,2.0
blue,16.0,4.0,3.0,23.0
bluff,1.0,0.0,0.0,1.0
blunt,1.0,1.0,0.0,2.0
blur,1.0,2.0,0.0,3.0
blurri,1.0,0.0,0.0,1.0
blush,1.0,0.0,0.0,1.0
bluster,1.0,0.0,0.0,1.0
boast,7.0,2.0,0.0,9.0
bob,2.0,1.0,1.0,4.0
bodaci,1.0,0.0,0.0,1.0
bode,1.0,0.0,0.0,1.0
bodi,3.0,0.0,0.0,3.0
bodili,4.0,0.0,0.0,4.0
bog,5.0,0.0,1.0,6.0
bogdanovich,2.0,0.0,0.0,2.0
boggl,1.0,0.0,0.0,1.0
bogus,4.0,2.0,0.0,6.0
bohemian,1.0,0.0,0.0,1.0
boho,1.0,0.0,0.0,1.0
boil,2.0,2.0,0.0,4.0
boister,3.0,2.0,0.0,5.0
bold,11.0,5.0,1.0,17.0
bolder,1.0,0.0,0.0,1.0
bolli,0.0,1.0,0.0,1.0
bolster,3.0,0.0,0.0,3.0
bolt,1.0,0.0,0.0,1.0
bomb,1.0,1.0,1.0,3.0
bombast,3.0,0.0,0.0,3.0
bombay,1.0,0.0,0.0,1.0
bona,0.0,1.0,0.0,1.0
bondish,1.0,0.0,0.0,1.0
bone,1.0,0.0,0.0,1.0
bonehead,0.0,1.0,0.0,1.0
boob,1.0,0.0,0.0,1.0
book,1.0,0.0,0.0,1.0
boom,1.0,1.0,0.0,2.0
boorish,1.0,0.0,0.0,1.0
boost,2.0,1.0,0.0,3.0
bop,1.0,0.0,0.0,1.0
borchardt,0.0,0.0,1.0,1.0
border,2.0,1.0,0.0,3.0
borderlin,2.0,0.0,0.0,2.0
bore,42.0,18.0,7.0,67.0
bori,1.0,0.0,0.0,1.0
born,5.0,1.0,0.0,6.0
borrow,5.0,4.0,0.0,9.0
borscht,1.0,0.0,0.0,1.0
borstal,2.0,1.0,0.0,3.0
bot,1.0,0.0,0.0,1.0
botch,2.0,2.0,0.0,4.0
bother,12.0,1.0,2.0,15.0
bothersom,0.0,1.0,0.0,1.0
bottom,6.0,1.0,1.0,8.0
bottomless,1.0,0.0,0.0,1.0
bought,3.0,0.0,0.0,3.0
bounc,2.0,1.0,0.0,3.0
bound,4.0,0.0,0.0,4.0
boundari,1.0,0.0,0.0,1.0
bourgeoi,1.0,0.0,0.0,1.0
bourn,1.0,4.0,1.0,6.0
bow,1.0,0.0,0.0,1.0
bowel,1.0,0.0,0.0,1.0
bowl,2.0,0.0,0.0,2.0
box,1.0,0.0,2.0,3.0
boy,9.0,2.0,0.0,11.0
boyd,0.0,1.0,0.0,1.0
boyz,1.0,0.0,0.0,1.0
brace,6.0,1.0,0.0,7.0
bradi,2.0,0.0,0.0,2.0
braid,0.0,1.0,0.0,1.0
braini,2.0,0.0,0.0,2.0
brainless,1.0,1.0,0.0,2.0
branagh,1.0,0.0,0.0,1.0
branch,1.0,0.0,0.0,1.0
brandish,0.0,1.0,0.0,1.0
brash,1.0,0.0,0.0,1.0
bratti,1.0,1.0,0.0,2.0
bravado,1.0,0.0,0.0,1.0
brave,0.0,2.0,0.0,2.0
braveri,1.0,0.0,0.0,1.0
bravo,1.0,0.0,0.0,1.0
bravura,1.0,1.0,0.0,2.0
brazen,2.0,1.0,0.0,3.0
breach,1.0,0.0,0.0,1.0
break,18.0,2.0,3.0,23.0
breakthrough,1.0,1.0,0.0,2.0
breath,8.0,0.0,1.0,9.0
breathless,1.0,0.0,0.0,1.0
breathtak,11.0,2.0,1.0,14.0
