,negative,positive,total
aboutnoth,1.0,0.0,1.0
aboutyet,0.0,1.0,1.0
abov,36.0,31.0,67.0
abracadabra,1.0,0.0,1.0
abraham,11.0,1.0,12.0
abram,0.0,2.0,2.0
abras,0.0,7.0,7.0
abraxa,2.0,0.0,2.0
abrazafarola,1.0,0.0,1.0
abrevi,0.0,1.0,1.0
abrham,0.0,1.0,1.0
abridg,40.0,11.0,51.0
abriolawest,1.0,0.0,1.0
abroad,7.0,11.0,18.0
abroard,0.0,1.0,1.0
abroken,0.0,1.0,1.0
abrsm,1.0,0.0,1.0
abrubt,3.0,0.0,3.0
abrupt,29.0,21.0,50.0
absa,0.0,1.0,1.0
absalom,0.0,1.0,1.0
abscond,1.0,0.0,1.0
absent,21.0,3.0,24.0
absentmind,2.0,0.0,2.0
absinth,1.0,0.0,1.0
absolout,3.0,0.0,3.0
absoluet,1.0,1.0,2.0
absolut,684.0,640.0,1324.0
absolutelynoth,1.0,0.0,1.0
absolutl,2.0,0.0,2.0
absolutley,5.0,10.0,15.0
absorb,75.0,52.0,127.0
absoult,2.0,1.0,3.0
absoulti,0.0,1.0,1.0
absoulut,1.0,2.0,3.0
absoulutley,0.0,1.0,1.0
absout,0.0,3.0,3.0
absoutley,1.0,0.0,1.0
abstain,1.0,0.0,1.0
abstract,16.0,16.0,32.0
abstractfor,0.0,1.0,1.0
abstrus,0.0,1.0,1.0
absu,0.0,1.0,1.0
absuloot,1.0,0.0,1.0
absurd,65.0,15.0,80.0
absym,1.0,0.0,1.0
abt,0.0,1.0,1.0
abtrubt,1.0,0.0,1.0
abu,0.0,1.0,1.0
abund,7.0,13.0,20.0
abundatrad,2.0,0.0,2.0
abus,47.0,32.0,79.0
abut,1.0,0.0,1.0
abvious,2.0,1.0,3.0
abysm,19.0,0.0,19.0
abyss,1.0,2.0,3.0
abyssm,2.0,0.0,2.0
ac,31.0,33.0,64.0
acadami,0.0,1.0,1.0
academ,31.0,29.0,60.0
academi,9.0,17.0,26.0
acadia,0.0,1.0,1.0
acadmey,0.0,1.0,1.0
acatit,0.0,1.0,1.0
acc,0.0,1.0,1.0
accdient,1.0,0.0,1.0
acceess,0.0,1.0,1.0
acceler,3.0,7.0,10.0
accent,3.0,6.0,9.0
accentu,5.0,5.0,10.0
accept,168.0,113.0,281.0
acceptebl,1.0,0.0,1.0
acces,1.0,0.0,1.0
access,27.0,66.0,93.0
accessori,0.0,1.0,1.0
accid,9.0,9.0,18.0
accident,38.0,33.0,71.0
accidentali,1.0,0.0,1.0
accidentili,1.0,0.0,1.0
acciend,1.0,0.0,1.0
acclaim,8.0,10.0,18.0
acclim,1.0,1.0,2.0
accolad,0.0,2.0,2.0
accommid,0.0,1.0,1.0
accommod,12.0,10.0,22.0
accomod,4.0,4.0,8.0
accompani,40.0,56.0,96.0
accomplish,45.0,58.0,103.0
accoplish,0.0,1.0,1.0
accord,97.0,47.0,144.0
accordian,3.0,1.0,4.0
accordion,0.0,1.0,1.0
accorid,1.0,0.0,1.0
accost,4.0,0.0,4.0
accostum,1.0,0.0,1.0
account,11.0,8.0,19.0
accountbas,0.0,1.0,1.0
accoust,2.0,2.0,4.0
accout,1.0,0.0,1.0
accredit,1.0,0.0,1.0
accrur,1.0,0.0,1.0
accsess,0.0,1.0,1.0
acctual,2.0,3.0,5.0
acctuali,1.0,0.0,1.0
accu,2.0,1.0,3.0
accugreen,1.0,0.0,1.0
accuir,1.0,0.0,1.0
accultur,0.0,1.0,1.0
accumul,8.0,7.0,15.0
accur,157.0,176.0,333.0
accuraci,3.0,0.0,3.0
accuratetri,1.0,0.0,1.0
accurr,2.0,1.0,3.0
accus,13.0,27.0,40.0
accusplit,3.0,0.0,3.0
accustom,12.0,12.0,24.0
accut,1.0,0.0,1.0
acdc,1.0,1.0,2.0
acdelco,0.0,1.0,1.0
ace,4.0,3.0,7.0
acedem,0.0,1.0,1.0
acerb,1.0,3.0,4.0
acess,0.0,1.0,1.0
ach,10.0,19.0,29.0
acheiv,3.0,2.0,5.0
achi,1.0,0.0,1.0
achicken,0.0,1.0,1.0
achiev,46.0,62.0,108.0
achild,1.0,0.0,1.0
achill,1.0,0.0,1.0
achiv,0.0,1.0,1.0
achohol,0.0,1.0,1.0
achtung,1.0,4.0,5.0
acid,8.0,11.0,19.0
acidophillus,1.0,0.0,1.0
acious,1.0,0.0,1.0
acivil,1.0,0.0,1.0
acknowledg,35.0,12.0,47.0
acknowledgeit,1.0,0.0,1.0
ackroyd,0.0,5.0,5.0
ackward,1.0,0.0,1.0
acl,0.0,1.0,1.0
acn,0.0,11.0,11.0
acommod,1.0,0.0,1.0
acompa,0.0,1.0,1.0
acondit,0.0,1.0,1.0
acontecimiento,0.0,1.0,1.0
acoord,1.0,0.0,1.0
acopi,1.0,0.0,1.0
acord,0.0,1.0,1.0
acorn,3.0,1.0,4.0
acoust,18.0,48.0,66.0
acoustic,1.0,0.0,1.0
acqir,1.0,0.0,1.0
acquaint,4.0,9.0,13.0
acquir,20.0,39.0,59.0
acquit,0.0,1.0,1.0
acr,1.0,5.0,6.0
acrid,1.0,1.0,2.0
acrobat,3.0,1.0,4.0
acroo,1.0,0.0,1.0
across,6.0,2.0,8.0
acrost,0.0,1.0,1.0
acryl,2.0,7.0,9.0
act,583.0,323.0,906.0
actaulli,2.0,1.0,3.0
acti,1.0,0.0,1.0
actic,0.0,1.0,1.0
actingstupid,1.0,0.0,1.0
action,1.0,0.0,1.0
actionscript,0.0,2.0,2.0
actiontec,2.0,0.0,2.0
activ,56.0,48.0,104.0
activex,1.0,0.0,1.0
activi,0.0,1.0,1.0
activist,1.0,0.0,1.0
acto,2.0,0.0,2.0
actoin,0.0,1.0,1.0
actor,1.0,2.0,3.0
actress,12.0,8.0,20.0
actshoal,1.0,0.0,1.0
actual,1500.0,903.0,2403.0
actuali,4.0,3.0,7.0
actualit,0.0,1.0,1.0
actuallybrought,1.0,0.0,1.0
actuallynot,1.0,0.0,1.0
actuar,1.0,0.0,1.0
actuat,0.0,1.0,1.0
actuli,1.0,0.0,1.0
actullay,0.0,1.0,1.0
actulli,6.0,0.0,6.0
acual,2.0,2.0,4.0
acultur,0.0,1.0,1.0
acur,5.0,8.0,13.0
acuret,1.0,0.0,1.0
acus,0.0,2.0,2.0
acuss,0.0,1.0,1.0
acust,0.0,1.0,1.0
acustom,1.0,0.0,1.0
acut,2.0,3.0,5.0
acutu,2.0,0.0,2.0
acv,1.0,0.0,1.0
ad,207.0,273.0,480.0
ada,3.0,0.0,3.0
adaba,0.0,2.0,2.0
adagio,1.0,0.0,1.0
adah,0.0,1.0,1.0
adam,28.0,35.0,63.0
adamantium,1.0,0.0,1.0
adapt,36.0,29.0,65.0
adaptec,1.0,0.0,1.0
adapterfor,0.0,1.0,1.0
adasql,0.0,1.0,1.0
adavnc,0.0,1.0,1.0
aday,2.0,0.0,2.0
add,297.0,454.0,751.0
addam,3.0,0.0,3.0
addcaptiv,1.0,0.0,1.0
addel,0.0,1.0,1.0
addendom,1.0,0.0,1.0
addendum,1.0,0.0,1.0
addict,26.0,84.0,110.0
addion,1.0,0.0,1.0
addit,100.0,102.0,202.0
addl,1.0,1.0,2.0
addor,1.0,0.0,1.0
addres,0.0,1.0,1.0
address,58.0,57.0,115.0
adel,1.0,0.0,1.0
adelight,0.0,1.0,1.0
adelin,1.0,0.0,1.0
adenoid,2.0,0.0,2.0
adept,1.0,7.0,8.0
adequ,57.0,35.0,92.0
adequit,0.0,1.0,1.0
adf,0.0,1.0,1.0
adhd,1.0,3.0,4.0
adher,8.0,8.0,16.0
adhes,6.0,3.0,9.0
adibl,0.0,1.0,1.0
adict,0.0,2.0,2.0
adida,1.0,0.0,1.0
adio,2.0,0.0,2.0
adjac,3.0,2.0,5.0
adject,7.0,3.0,10.0
adjoin,1.0,0.0,1.0
adjunct,0.0,1.0,1.0
adjust,109.0,138.0,247.0
adjut,0.0,1.0,1.0
adk,1.0,0.0,1.0
adm,0.0,1.0,1.0
adment,1.0,0.0,1.0
admin,2.0,1.0,3.0
administ,5.0,5.0,10.0
administr,2.0,2.0,4.0
adminr,1.0,0.0,1.0
admir,38.0,68.0,106.0
admirib,0.0,1.0,1.0
admist,0.0,1.0,1.0
admistr,1.0,0.0,1.0
admit,205.0,148.0,353.0
admitedlli,1.0,0.0,1.0
admitt,1.0,0.0,1.0
admonish,2.0,1.0,3.0
adn,1.0,1.0,2.0
ado,3.0,1.0,4.0
adob,2.0,1.0,3.0
adobt,0.0,1.0,1.0
adolec,1.0,1.0,2.0
adolesc,15.0,10.0,25.0
adolf,1.0,0.0,1.0
adolosc,1.0,0.0,1.0
adolph,1.0,1.0,2.0
adopt,11.0,40.0,51.0
ador,53.0,107.0,160.0
adorama,0.0,2.0,2.0
adorn,3.0,1.0,4.0
adout,0.0,1.0,1.0
adquirido,0.0,1.0,1.0
adquirirlo,0.0,1.0,1.0
adren,1.0,0.0,1.0
adrenalin,0.0,3.0,3.0
adrian,8.0,6.0,14.0
adriana,0.0,1.0,1.0
adriann,1.0,0.0,1.0
adrien,3.0,1.0,4.0
adrienn,1.0,0.0,1.0
adriv,1.0,0.0,1.0
adroit,0.0,3.0,3.0
adsens,1.0,0.0,1.0
adsorb,1.0,0.0,1.0
adter,1.0,0.0,1.0
adtmit,0.0,1.0,1.0
adult,14.0,21.0,35.0
adulter,2.0,0.0,2.0
adulteress,2.0,0.0,2.0
adulteri,0.0,3.0,3.0
adulthood,2.0,3.0,5.0
adultish,1.0,0.0,1.0
adultri,1.0,0.0,1.0
adust,0.0,1.0,1.0
adv,1.0,2.0,3.0
advanc,98.0,123.0,221.0
advantag,2.0,2.0,4.0
advantix,1.0,2.0,3.0
advent,2.0,0.0,2.0
adventer,1.0,4.0,5.0
adventouro,0.0,1.0,1.0
adventur,20.0,61.0,81.0
adventuri,1.0,0.0,1.0
adverb,1.0,0.0,1.0
adveris,1.0,0.0,1.0
advers,3.0,2.0,5.0
adversari,0.0,2.0,2.0
adversli,0.0,1.0,1.0
advert,15.0,5.0,20.0
advertain,1.0,0.0,1.0
adverties,1.0,0.0,1.0
advertis,212.0,116.0,328.0
advertisedat,1.0,0.0,1.0
advertisedmbl,1.0,0.0,1.0
advertori,1.0,0.0,1.0
advic,4.0,6.0,10.0
advid,0.0,2.0,2.0
advis,93.0,41.0,134.0
advisari,0.0,1.0,1.0
advisedto,0.0,1.0,1.0
adviseus,0.0,1.0,1.0
advisor,2.0,0.0,2.0
advisori,1.0,2.0,3.0
advoc,11.0,6.0,17.0
advs,0.0,1.0,1.0
ae,7.0,0.0,7.0
aeaeae,0.0,1.0,1.0
aebersold,0.0,1.0,1.0
aeri,1.0,0.0,1.0
aerial,3.0,6.0,9.0
aerith,1.0,0.0,1.0
aerob,1.0,5.0,6.0
aerodynam,0.0,1.0,1.0
aerogarden,1.0,0.0,1.0
aerosmith,5.0,1.0,6.0
aersomith,1.0,0.0,1.0
aeryn,0.0,2.0,2.0
aesop,1.0,0.0,1.0
aesthet,11.0,11.0,22.0
aesthetician,1.0,0.0,1.0
aesthic,0.0,1.0,1.0
aether,1.0,0.0,1.0
aewsom,0.0,1.0,1.0
af,0.0,2.0,2.0
afantast,0.0,1.0,1.0
afarid,1.0,0.0,1.0
afe,0.0,1.0,1.0
afeitadora,0.0,2.0,2.0
afeitan,0.0,1.0,1.0
afeitandom,0.0,1.0,1.0
afer,1.0,0.0,1.0
afew,1.0,0.0,1.0
affac,0.0,1.0,1.0
affair,1.0,0.0,1.0
affect,47.0,71.0,118.0
affection,1.0,2.0,3.0
afficionado,1.0,0.0,1.0
affili,3.0,1.0,4.0
affirm,3.0,5.0,8.0
affix,3.0,2.0,5.0
affleck,2.0,2.0,4.0
afflict,1.0,2.0,3.0
affluent,0.0,1.0,1.0
afford,50.0,77.0,127.0
afforment,0.0,1.0,1.0
affort,1.0,1.0,2.0
affront,0.0,1.0,1.0
afghan,2.0,0.0,2.0
afghanistan,0.0,1.0,1.0
afi,2.0,2.0,4.0
aficionado,0.0,1.0,1.0
afield,1.0,0.0,1.0
afilm,0.0,1.0,1.0
afin,0.0,1.0,1.0
afix,2.0,1.0,3.0
afloat,1.0,1.0,2.0
afoot,0.0,1.0,1.0
aford,0.0,1.0,1.0
aforement,12.0,4.0,16.0
afraid,96.0,78.0,174.0
africa,7.0,12.0,19.0
african,37.0,71.0,108.0
afrika,0.0,1.0,1.0
afrikaa,1.0,0.0,1.0
afro,2.0,7.0,9.0
aft,0.0,1.0,1.0
aftaid,1.0,0.0,1.0
aften,0.0,1.0,1.0
afteral,1.0,0.0,1.0
afterglow,0.0,1.0,1.0
afteri,1.0,0.0,1.0
afterlif,0.0,3.0,3.0
aftermarket,0.0,2.0,2.0
aftermath,2.0,0.0,2.0
aftermayb,1.0,0.0,1.0
afterread,0.0,1.0,1.0
afterschool,1.0,0.0,1.0
afterse,1.0,0.0,1.0
aftershav,1.0,2.0,3.0
afterth,0.0,2.0,2.0
afterthought,3.0,1.0,4.0
afterward,5.0,14.0,19.0
afterword,0.0,1.0,1.0
aftyer,1.0,0.0,1.0
aful,1.0,0.0,1.0
afwul,1.0,0.0,1.0
agahst,1.0,0.0,1.0
again,1814.0,1697.0,3511.0
againi,1.0,0.0,1.0
againth,1.0,0.0,1.0
againwith,0.0,1.0,1.0
agaisnt,0.0,1.0,1.0
agaist,1.0,0.0,1.0
aganis,2.0,0.0,2.0
agap,1.0,0.0,1.0
agat,0.0,1.0,1.0
agatha,4.0,15.0,19.0
agav,0.0,1.0,1.0
age,62.0,60.0,122.0
agel,1.0,0.0,1.0
ageless,0.0,6.0,6.0
agem,1.0,0.0,1.0
agenda,3.0,2.0,5.0
agent,2.0,5.0,7.0
ageold,0.0,1.0,1.0
ager,1.0,0.0,1.0
agey,2.0,0.0,2.0
aggeiv,1.0,0.0,1.0
agghh,0.0,1.0,1.0
aggrand,6.0,0.0,6.0
aggrandis,1.0,0.0,1.0
aggrav,11.0,1.0,12.0
aggres,1.0,2.0,3.0
aggress,15.0,16.0,31.0
aggrev,0.0,1.0,1.0
aggriv,0.0,1.0,1.0
agh,1.0,0.0,1.0
aghast,2.0,0.0,2.0
agian,3.0,6.0,9.0
agil,0.0,1.0,1.0
agit,4.0,1.0,5.0
agn,0.0,1.0,1.0
agnelli,0.0,1.0,1.0
agnost,1.0,1.0,2.0
ago,520.0,571.0,1091.0
agog,1.0,1.0,2.0
agoi,1.0,1.0,2.0
agon,8.0,2.0,10.0
agoni,1.0,0.0,1.0
agonis,2.0,0.0,2.0
agood,0.0,2.0,2.0
agp,0.0,1.0,1.0
agrarian,2.0,0.0,2.0
agrav,0.0,2.0,2.0
agre,350.0,216.0,566.0
agreat,1.0,1.0,2.0
agreeabl,0.0,1.0,1.0
agreewith,0.0,1.0,1.0
agress,1.0,5.0,6.0
agribusi,1.0,0.0,1.0
agricultur,2.0,2.0,4.0
agru,1.0,1.0,2.0
agua,0.0,1.0,1.0
aguascalienteswher,0.0,1.0,1.0
aguilera,1.0,0.0,1.0
ah,9.0,16.0,25.0
aha,1.0,2.0,3.0
ahab,0.0,2.0,2.0
ahappi,0.0,2.0,2.0
ahd,1.0,0.0,1.0
ahead,115.0,132.0,247.0
ahem,2.0,0.0,2.0
ahern,1.0,0.0,1.0
ahh,3.0,5.0,8.0
ahhh,2.0,5.0,7.0
ahhhh,1.0,1.0,2.0
ahhhhhh,0.0,1.0,1.0
ahhhhhhhhhhhhhh,0.0,1.0,1.0
ahigh,1.0,0.0,1.0
ahistor,1.0,0.0,1.0
ahm,1.0,0.0,1.0
ahold,2.0,2.0,4.0
ahora,1.0,1.0,2.0
ahorrifi,0.0,1.0,1.0
ahoy,1.0,0.0,1.0
ahv,1.0,0.0,1.0
ai,7.0,5.0,12.0
aibo,0.0,1.0,1.0
aid,11.0,10.0,21.0
aida,1.0,0.0,1.0
aidan,0.0,3.0,3.0
aiello,1.0,0.0,1.0
aight,2.0,2.0,4.0
aiight,1.0,0.0,1.0
aiken,7.0,20.0,27.0
aikido,2.0,1.0,3.0
ail,2.0,4.0,6.0
aim,38.0,35.0,73.0
aime,2.0,1.0,3.0
aimless,11.0,4.0,15.0
ain,55.0,32.0,87.0
aint,11.0,11.0,22.0
aip,1.0,0.0,1.0
air,26.0,30.0,56.0
airb,2.0,5.0,7.0
airbak,0.0,1.0,1.0
airborn,0.0,2.0,2.0
airboss,1.0,0.0,1.0
airbrush,2.0,1.0,3.0
aircraft,1.0,0.0,1.0
aird,1.0,0.0,1.0
airfram,0.0,1.0,1.0
airhead,3.0,0.0,3.0
airi,2.0,7.0,9.0
airless,1.0,0.0,1.0
aironet,1.0,0.0,1.0
airplan,2.0,4.0,6.0
airplay,1.0,2.0,3.0
airport,2.0,1.0,3.0
airportman,0.0,1.0,1.0
airportswher,1.0,0.0,1.0
airsoft,3.0,9.0,12.0
airspac,0.0,1.0,1.0
airtight,5.0,2.0,7.0
airtim,1.0,0.0,1.0
airtran,1.0,0.0,1.0
airway,1.0,0.0,1.0
aisl,2.0,3.0,5.0
ait,1.0,0.0,1.0
aix,0.0,1.0,1.0
aj,2.0,1.0,3.0
aja,1.0,0.0,1.0
ajohnson,1.0,0.0,1.0
ajok,1.0,0.0,1.0
ajust,1.0,1.0,2.0
ak,0.0,1.0,1.0
aka,3.0,7.0,10.0
akc,1.0,3.0,4.0
ake,0.0,1.0,1.0
aken,0.0,1.0,1.0
akerfeldt,0.0,1.0,1.0
akermandirect,0.0,1.0,1.0
akg,2.0,0.0,2.0
akin,11.0,4.0,15.0
akinshina,0.0,1.0,1.0
akira,2.0,1.0,3.0
aknowledg,2.0,1.0,3.0
akrid,0.0,1.0,1.0
akrobatik,0.0,1.0,1.0
akward,3.0,2.0,5.0
akzeptablen,1.0,0.0,1.0
al,31.0,28.0,59.0
ala,33.0,3.0,36.0
alabama,4.0,1.0,5.0
alabina,1.0,0.0,1.0
aladdin,3.0,1.0,4.0
aladin,1.0,1.0,2.0
alagna,0.0,1.0,1.0
alagor,0.0,1.0,1.0
alain,0.0,2.0,2.0
alamo,0.0,2.0,2.0
alan,17.0,10.0,27.0
alana,0.0,2.0,2.0
alani,3.0,2.0,5.0
alanjay,1.0,0.0,1.0
alarm,10.0,3.0,13.0
alarmist,2.0,1.0,3.0
alaska,3.0,6.0,9.0
alaskan,1.0,5.0,6.0
alaway,0.0,1.0,1.0
alazhar,0.0,1.0,1.0
alba,3.0,1.0,4.0
albabian,0.0,1.0,1.0
alban,0.0,4.0,4.0
albanian,0.0,2.0,2.0
albeit,4.0,7.0,11.0
albert,10.0,16.0,26.0
albiet,1.0,0.0,1.0
alblum,0.0,1.0,1.0
albolen,0.0,1.0,1.0
albom,7.0,0.0,7.0
albrecht,0.0,1.0,1.0
albright,1.0,0.0,1.0
albu,0.0,1.0,1.0
album,218.0,347.0,565.0
albumand,0.0,1.0,1.0
albumb,1.0,0.0,1.0
albumdeep,0.0,1.0,1.0
albumrec,1.0,0.0,1.0
albun,1.0,0.0,1.0
albuquerqu,0.0,1.0,1.0
alcatraz,4.0,0.0,4.0
alcatrazhistori,1.0,0.0,1.0
alchem,0.0,1.0,1.0
alchemi,0.0,1.0,1.0
alchoh,1.0,0.0,1.0
alchol,0.0,1.0,1.0
alcohol,7.0,5.0,12.0
alcott,0.0,6.0,6.0
aldo,0.0,1.0,1.0
aldous,0.0,4.0,4.0
aldrich,1.0,0.0,1.0
aleadi,1.0,0.0,1.0
alearn,1.0,0.0,1.0
alec,2.0,8.0,10.0
alengthi,0.0,1.0,1.0
aleradi,1.0,0.0,1.0
alert,16.0,7.0,23.0
alertwatch,0.0,1.0,1.0
alesandra,0.0,1.0,1.0
aletha,0.0,2.0,2.0
alex,26.0,39.0,65.0
alexadra,1.0,0.0,1.0
alexand,6.0,3.0,9.0
alexandr,1.0,2.0,3.0
alexandra,2.0,0.0,2.0
alexi,0.0,2.0,2.0
alf,1.0,0.0,1.0
alfalfa,1.0,0.0,1.0
alfi,2.0,2.0,4.0
alfonso,2.0,0.0,2.0
alfr,10.0,11.0,21.0
alfredo,3.0,0.0,3.0
algaesaf,0.0,1.0,1.0
algebra,2.0,2.0,4.0
alger,0.0,1.0,1.0
algerian,0.0,2.0,2.0
algonquian,0.0,1.0,1.0
algonquin,1.0,0.0,1.0
algorithm,6.0,0.0,6.0
alguna,0.0,2.0,2.0
alhambra,1.0,0.0,1.0
alhough,1.0,0.0,1.0
ali,2.0,3.0,5.0
alias,0.0,1.0,1.0
alic,14.0,16.0,30.0
alicia,3.0,4.0,7.0
alien,49.0,39.0,88.0
alienest,1.0,0.0,1.0
align,15.0,12.0,27.0
alik,17.0,50.0,67.0
alist,0.0,1.0,1.0
alittl,7.0,17.0,24.0
aliv,69.0,155.0,224.0
aliz,0.0,2.0,2.0
alkal,2.0,2.0,4.0
alkalin,3.0,1.0,4.0
all,65.0,51.0,116.0
alla,1.0,0.0,1.0
allah,1.0,1.0,2.0
allan,1.0,2.0,3.0
allay,0.0,3.0,3.0
allblu,1.0,0.0,1.0
allcost,1.0,0.0,1.0
alledg,1.0,0.0,1.0
alleg,21.0,4.0,25.0
allegheni,0.0,1.0,1.0
allegor,4.0,5.0,9.0
allegori,1.0,0.0,1.0
allegr,0.0,1.0,1.0
allem,0.0,1.0,1.0
allen,14.0,22.0,36.0
allend,5.0,2.0,7.0
allenperenni,0.0,1.0,1.0
allerg,9.0,5.0,14.0
allergi,5.0,1.0,6.0
alleveryth,0.0,1.0,1.0
allevi,1.0,5.0,6.0
alley,2.0,0.0,2.0
alli,13.0,6.0,19.0
allintend,0.0,1.0,1.0
allish,1.0,0.0,1.0
allison,1.0,4.0,5.0
alliv,0.0,1.0,1.0
alll,1.0,0.0,1.0
allllllll,0.0,1.0,1.0
allman,3.0,2.0,5.0
allmost,1.0,0.0,1.0
allmus,0.0,2.0,2.0
allo,0.0,3.0,3.0
alloc,4.0,1.0,5.0
allong,1.0,0.0,1.0
allot,2.0,2.0,4.0
allotta,0.0,1.0,1.0
allow,298.0,320.0,618.0
allowedto,1.0,0.0,1.0
allreadi,1.0,3.0,4.0
allreview,0.0,1.0,1.0
allright,5.0,1.0,6.0
allsing,0.0,1.0,1.0
allso,1.0,0.0,1.0
allsop,0.0,1.0,1.0
allspic,0.0,1.0,1.0
allth,3.0,2.0,5.0
alltim,0.0,3.0,3.0
alltogeth,1.0,1.0,2.0
allud,7.0,3.0,10.0
allur,4.0,7.0,11.0
allway,0.0,3.0,3.0
allwritten,0.0,1.0,1.0
allyn,1.0,1.0,2.0
allyou,0.0,1.0,1.0
alma,1.0,1.0,2.0
almanac,2.0,2.0,4.0
almanzo,1.0,0.0,1.0
almighti,1.0,0.0,1.0
almod,0.0,1.0,1.0
almodovar,0.0,2.0,2.0
almond,1.0,0.0,1.0
almost,1037.0,843.0,1880.0
almostcertain,1.0,0.0,1.0
almostident,1.0,0.0,1.0
almostno,1.0,0.0,1.0
almsot,1.0,0.0,1.0
alo,2.0,0.0,2.0
alofa,0.0,1.0,1.0
aloft,0.0,1.0,1.0
alogitech,0.0,2.0,2.0
alogrithm,1.0,0.0,1.0
aloha,1.0,1.0,2.0
alon,229.0,256.0,485.0
along,113.0,179.0,292.0
alongdorothi,0.0,1.0,1.0
alongsid,1.0,7.0,8.0
alongwait,1.0,0.0,1.0
alongwith,1.0,0.0,1.0
alonzo,0.0,2.0,2.0
aloof,1.0,3.0,4.0
alos,1.0,0.0,1.0
alot,36.0,60.0,96.0
alotof,0.0,1.0,1.0
aloud,6.0,19.0,25.0
alous,0.0,1.0,1.0
alousi,1.0,0.0,1.0
alow,1.0,1.0,2.0
alpaca,0.0,1.0,1.0
alpha,8.0,7.0,15.0
alphabet,2.0,7.0,9.0
alphons,0.0,1.0,1.0
alpin,1.0,0.0,1.0
alradi,0.0,1.0,1.0
alreadi,738.0,534.0,1272.0
alreadybeen,0.0,2.0,2.0
alreadydon,1.0,0.0,1.0
alredi,2.0,0.0,2.0
alright,67.0,39.0,106.0
alrit,1.0,1.0,2.0
alseep,1.0,0.0,1.0
alsmost,1.0,0.0,1.0
also,2212.0,3008.0,5220.0
alsob,1.0,0.0,1.0
alsobeliev,0.0,1.0,1.0
alsohigh,0.0,1.0,1.0
alsolik,1.0,0.0,1.0
alsom,0.0,2.0,2.0
alsono,0.0,1.0,1.0
alsoth,0.0,1.0,1.0
alsotrap,1.0,0.0,1.0
alsoveri,0.0,1.0,1.0
alt,3.0,6.0,9.0
altar,1.0,0.0,1.0
altec,1.0,5.0,6.0
alteern,0.0,1.0,1.0
alten,0.0,1.0,1.0
alter,26.0,23.0,49.0
alterior,0.0,1.0,1.0
alterman,0.0,1.0,1.0
altern,92.0,101.0,193.0
alterna,1.0,1.0,2.0
alternativish,1.0,0.0,1.0
alternit,0.0,1.0,1.0
alterta,0.0,1.0,1.0
althea,1.0,0.0,1.0
altho,0.0,2.0,2.0
althoughsom,0.0,1.0,1.0
althought,0.0,2.0,2.0
