,negative,positive,total
advanc,128.0,153.0,281.0
advani,2.0,0.0,2.0
advantag,7.0,7.0,14.0
advent,7.0,8.0,15.0
adventist,1.0,3.0,4.0
adventiti,1.0,0.0,1.0
adventur,51.0,103.0,154.0
adventuresom,2.0,1.0,3.0
advers,9.0,17.0,26.0
adversari,6.0,14.0,20.0
advert,6.0,4.0,10.0
adverter,0.0,1.0,1.0
advertis,107.0,79.0,186.0
advic,7.0,10.0,17.0
advis,164.0,105.0,269.0
advisor,1.0,0.0,1.0
advisori,5.0,0.0,5.0
advoc,15.0,12.0,27.0
ae,0.0,8.0,8.0
aegean,0.0,1.0,1.0
aegert,1.0,0.0,1.0
aelita,1.0,0.0,1.0
aenea,0.0,1.0,1.0
aeon,4.0,1.0,5.0
aeri,0.0,1.0,1.0
aerial,25.0,48.0,73.0
aerith,1.0,0.0,1.0
aerki,1.0,0.0,1.0
aerob,3.0,0.0,3.0
aerobic,1.0,0.0,1.0
aerobicid,1.0,0.0,1.0
aerodynam,0.0,1.0,1.0
aeronaut,1.0,3.0,4.0
aeroplan,0.0,1.0,1.0
aerosmith,2.0,2.0,4.0
aerosol,2.0,0.0,2.0
aerun,0.0,1.0,1.0
aeryn,0.0,4.0,4.0
aeschylus,0.0,1.0,1.0
aesir,2.0,0.0,2.0
aesop,1.0,1.0,2.0
aestheic,0.0,1.0,1.0
aesthet,57.0,74.0,131.0
aetheist,1.0,0.0,1.0
aetheri,1.0,0.0,1.0
afaik,1.0,0.0,1.0
afar,3.0,3.0,6.0
afb,0.0,1.0,1.0
afer,1.0,0.0,1.0
afest,1.0,0.0,1.0
afew,1.0,2.0,3.0
aff,0.0,1.0,1.0
affabl,13.0,21.0,34.0
affair,11.0,10.0,21.0
affect,169.0,374.0,543.0
affection,16.0,33.0,49.0
affili,7.0,8.0,15.0
affin,0.0,1.0,1.0
affirm,25.0,32.0,57.0
affix,0.0,3.0,3.0
affleck,6.0,3.0,9.0
afflect,0.0,1.0,1.0
afflict,18.0,16.0,34.0
affluent,8.0,23.0,31.0
afford,136.0,120.0,256.0
affront,1.0,2.0,3.0
afgahnistan,1.0,0.0,1.0
afgan,0.0,1.0,1.0
afgani,1.0,0.0,1.0
afganistan,2.0,2.0,4.0
afganskiy,0.0,2.0,2.0
afghan,3.0,15.0,18.0
afghani,1.0,2.0,3.0
afghanistan,23.0,26.0,49.0
afi,4.0,9.0,13.0
afican,2.0,0.0,2.0
aficionado,3.0,6.0,9.0
afield,2.0,0.0,2.0
afilm,1.0,0.0,1.0
afirm,0.0,1.0,1.0
aflac,1.0,0.0,1.0
aflam,0.0,2.0,2.0
afloat,8.0,7.0,15.0
afoot,4.0,5.0,9.0
afor,1.0,0.0,1.0
aforement,140.0,81.0,221.0
aforment,1.0,2.0,3.0
afortun,0.0,1.0,1.0
afoul,3.0,1.0,4.0
afraid,263.0,271.0,534.0
afreen,1.0,0.0,1.0
africa,46.0,60.0,106.0
african,230.0,274.0,504.0
afrika,2.0,0.0,2.0
afrikaan,1.0,1.0,2.0
afro,17.0,16.0,33.0
afroregga,3.0,7.0,10.0
aftab,3.0,1.0,4.0
afteral,5.0,4.0,9.0
afterglow,0.0,1.0,1.0
afterlif,2.0,0.0,2.0
aftermath,2.0,0.0,2.0
afterschool,2.0,1.0,3.0
aftershock,1.0,0.0,1.0
afterthought,7.0,4.0,11.0
afterward,46.0,62.0,108.0
afterword,1.0,2.0,3.0
afther,0.0,1.0,1.0
aftra,0.0,3.0,3.0
afzel,2.0,0.0,2.0
ag,1.0,0.0,1.0
aga,1.0,0.0,1.0
agaaaain,0.0,1.0,1.0
again,3635.0,4244.0,7879.0
agamemnon,0.0,2.0,2.0
agap,0.0,1.0,1.0
agar,1.0,0.0,1.0
agatha,6.0,12.0,18.0
age,321.0,411.0,732.0
ageless,5.0,4.0,9.0
agenda,5.0,2.0,7.0
agent,28.0,32.0,60.0
ager,1.0,0.0,1.0
agey,1.0,1.0,2.0
aggamemnon,0.0,1.0,1.0
aggi,0.0,2.0,2.0
aggrandiz,1.0,1.0,2.0
aggrapina,1.0,0.0,1.0
aggrav,34.0,19.0,53.0
aggre,1.0,0.0,1.0
aggreg,0.0,2.0,2.0
aggres,0.0,1.0,1.0
aggress,64.0,76.0,140.0
aggressor,1.0,1.0,2.0
aggriev,4.0,1.0,5.0
aggriv,1.0,0.0,1.0
agh,1.0,0.0,1.0
aghast,7.0,8.0,15.0
aghhhhhh,1.0,0.0,1.0
agi,0.0,3.0,3.0
agian,1.0,0.0,1.0
agil,4.0,5.0,9.0
agin,1.0,2.0,3.0
agit,11.0,8.0,19.0
agito,1.0,0.0,1.0
agless,0.0,1.0,1.0
agn,1.0,1.0,2.0
agnew,1.0,0.0,1.0
agnieszka,0.0,1.0,1.0
agniezska,0.0,1.0,1.0
agnost,9.0,4.0,13.0
ago,664.0,953.0,1617.0
agog,1.0,0.0,1.0
agon,62.0,19.0,81.0
agoni,4.0,2.0,6.0
agonis,7.0,8.0,15.0
agoraphob,0.0,2.0,2.0
agost,1.0,1.0,2.0
agostina,0.0,1.0,1.0
agra,0.0,1.0,1.0
agrarian,1.0,1.0,2.0
agre,722.0,687.0,1409.0
agreat,0.0,1.0,1.0
agreeabl,8.0,20.0,28.0
agren,4.0,0.0,4.0
agricultur,6.0,3.0,9.0
agrippina,3.0,0.0,3.0
aground,3.0,0.0,3.0
agua,1.0,0.0,1.0
aguayo,1.0,1.0,2.0
aguilar,2.0,0.0,2.0
aguirr,1.0,3.0,4.0
aguirresarob,0.0,1.0,1.0
agust,0.0,2.0,2.0
agutt,0.0,2.0,2.0
ah,65.0,39.0,104.0
aha,8.0,1.0,9.0
ahab,7.0,2.0,9.0
ahahhahahaha,1.0,0.0,1.0
aharon,1.0,0.0,1.0
ahead,355.0,405.0,760.0
ahearn,0.0,3.0,3.0
ahem,22.0,8.0,30.0
ahet,1.0,0.0,1.0
ahh,7.0,7.0,14.0
ahhh,1.0,1.0,2.0
ahhhhhh,1.0,1.0,2.0
ahhhhhhh,1.0,0.0,1.0
ahista,0.0,2.0,2.0
ahistor,1.0,0.0,1.0
ahlstedt,0.0,1.0,1.0
ahm,1.0,3.0,4.0
ahmad,0.0,23.0,23.0
ahmedabad,0.0,1.0,1.0
ahmet,0.0,1.0,1.0
ahna,2.0,1.0,3.0
ahold,1.0,0.0,1.0
ahould,0.0,1.0,1.0
ahoy,4.0,0.0,4.0
aht,1.0,0.0,1.0
ahuntin,1.0,0.0,1.0
ai,4.0,6.0,10.0
aicha,0.0,2.0,2.0
aicn,1.0,0.0,1.0
aid,51.0,119.0,170.0
aida,2.0,1.0,3.0
aidan,4.0,14.0,18.0
aiden,19.0,9.0,28.0
aiello,1.0,6.0,7.0
aielo,0.0,1.0,1.0
aihara,0.0,1.0,1.0
aik,0.0,1.0,1.0
aikawa,0.0,1.0,1.0
aiken,2.0,3.0,5.0
aikido,2.0,1.0,3.0
ail,15.0,29.0,44.0
aileen,2.0,9.0,11.0
aileron,1.0,0.0,1.0
ailleur,0.0,1.0,1.0
ailment,2.0,0.0,2.0
ailtan,1.0,0.0,1.0
ailton,0.0,1.0,1.0
aim,288.0,156.0,444.0
aimabl,1.0,0.0,1.0
aimanov,1.0,0.0,1.0
aime,6.0,7.0,13.0
aimless,75.0,17.0,92.0
ain,173.0,103.0,276.0
aina,0.0,2.0,2.0
ainsley,1.0,0.0,1.0
ainsworth,0.0,1.0,1.0
aint,4.0,1.0,5.0
aip,3.0,2.0,5.0
air,169.0,257.0,426.0
airbag,0.0,1.0,1.0
airbal,1.0,0.0,1.0
airborn,9.0,2.0,11.0
airbrush,4.0,0.0,4.0
airbus,1.0,0.0,1.0
aircraft,2.0,0.0,2.0
airfield,1.0,0.0,1.0
airforc,2.0,0.0,2.0
airhead,7.0,7.0,14.0
airheaded,0.0,1.0,1.0
airi,1.0,4.0,5.0
airial,1.0,0.0,1.0
airili,0.0,1.0,1.0
airless,1.0,0.0,1.0
airli,0.0,1.0,1.0
airlift,4.0,1.0,5.0
airmail,1.0,0.0,1.0
airman,1.0,3.0,4.0
airmen,1.0,0.0,1.0
airplan,8.0,3.0,11.0
airport,8.0,1.0,9.0
airship,0.0,1.0,1.0
airsick,1.0,0.0,1.0
airsoft,1.0,0.0,1.0
airspac,1.0,0.0,1.0
airtight,1.0,3.0,4.0
airtim,3.0,1.0,4.0
ais,1.0,0.0,1.0
aish,1.0,1.0,2.0
aisha,2.0,0.0,2.0
aishu,0.0,1.0,1.0
aishwari,0.0,1.0,1.0
aishwariya,0.0,1.0,1.0
aishwarya,6.0,10.0,16.0
aisl,3.0,7.0,10.0
aissa,0.0,1.0,1.0
aitd,1.0,0.0,1.0
aito,0.0,3.0,3.0
aj,0.0,4.0,4.0
aja,4.0,0.0,4.0
ajar,0.0,1.0,1.0
ajax,4.0,0.0,4.0
ajay,18.0,1.0,19.0
aji,1.0,0.0,1.0
ajikko,0.0,1.0,1.0
ajit,0.0,1.0,1.0
ajita,2.0,0.0,2.0
ajnab,0.0,1.0,1.0
ajnabi,0.0,1.0,1.0
ajooba,1.0,0.0,1.0
ak,8.0,1.0,9.0
aka,71.0,56.0,127.0
akan,0.0,2.0,2.0
akasha,1.0,14.0,15.0
akath,0.0,1.0,1.0
akayla,1.0,0.0,1.0
ake,1.0,3.0,4.0
akeem,0.0,6.0,6.0
akelli,1.0,0.0,1.0
akenaten,0.0,2.0,2.0
akerman,1.0,0.0,1.0
akhenaten,0.0,1.0,1.0
akhnaton,0.0,4.0,4.0
akhra,1.0,0.0,1.0
aki,3.0,1.0,4.0
akiko,0.0,2.0,2.0
akim,2.0,0.0,2.0
akin,46.0,63.0,109.0
akira,2.0,14.0,16.0
akiva,2.0,0.0,2.0
akiyama,0.0,1.0,1.0
akkaya,1.0,0.0,1.0
akki,0.0,1.0,1.0
akm,1.0,0.0,1.0
aknowledg,0.0,1.0,1.0
akosua,0.0,2.0,2.0
akrona,1.0,0.0,1.0
akroy,1.0,0.0,1.0
akroyd,4.0,0.0,4.0
akshay,49.0,41.0,90.0
aku,0.0,2.0,2.0
akuzi,0.0,1.0,1.0
akward,1.0,1.0,2.0
akyroyd,0.0,1.0,1.0
al,103.0,103.0,206.0
ala,106.0,63.0,169.0
alabama,5.0,4.0,9.0
alack,2.0,0.0,2.0
aladdin,2.0,1.0,3.0
alaimo,1.0,0.0,1.0
alain,6.0,20.0,26.0
alamien,1.0,0.0,1.0
alamo,2.0,12.0,14.0
alan,76.0,118.0,194.0
alana,0.0,1.0,1.0
alanni,1.0,0.0,1.0
alanrickmaniac,0.0,1.0,1.0
alanti,0.0,1.0,1.0
alar,3.0,0.0,3.0
alarik,1.0,0.0,1.0
alarm,34.0,37.0,71.0
alarmist,3.0,0.0,3.0
alaska,11.0,10.0,21.0
alaskan,4.0,5.0,9.0
alast,0.0,1.0,1.0
alastair,2.0,7.0,9.0
alb,0.0,1.0,1.0
alba,13.0,4.0,17.0
albani,2.0,1.0,3.0
albania,0.0,1.0,1.0
albanian,4.0,3.0,7.0
albano,1.0,0.0,1.0
albeit,16.0,39.0,55.0
albeniz,0.0,2.0,2.0
albert,90.0,190.0,280.0
alberta,2.0,2.0,4.0
albertan,1.0,0.0,1.0
alberto,2.0,5.0,7.0
albi,1.0,1.0,2.0
albiet,5.0,2.0,7.0
albin,1.0,0.0,1.0
albino,2.0,0.0,2.0
albinoni,0.0,1.0,1.0
albizo,1.0,0.0,1.0
albrght,0.0,1.0,1.0
albright,1.0,1.0,2.0
album,8.0,12.0,20.0
albuquerqu,1.0,3.0,4.0
alc,0.0,1.0,1.0
alcantara,0.0,1.0,1.0
alcatraz,8.0,1.0,9.0
alchem,0.0,3.0,3.0
alchemi,1.0,0.0,1.0
alchohol,0.0,1.0,1.0
alcohol,84.0,78.0,162.0
alcott,0.0,2.0,2.0
alda,10.0,2.0,12.0
aldar,1.0,0.0,1.0
alden,2.0,0.0,2.0
alderich,1.0,0.0,1.0
alderman,1.0,0.0,1.0
aldo,5.0,3.0,8.0
aldofo,0.0,1.0,1.0
aldolpho,1.0,0.0,1.0
aldomovar,1.0,0.0,1.0
aldous,2.0,1.0,3.0
aldrich,4.0,2.0,6.0
aldridg,1.0,0.0,1.0
aldrin,1.0,1.0,2.0
ale,1.0,8.0,9.0
alec,34.0,35.0,69.0
alecbaldwin,1.0,0.0,1.0
alecia,0.0,1.0,1.0
alecki,3.0,2.0,5.0
alegria,1.0,0.0,1.0
aleist,0.0,2.0,2.0
alejandra,0.0,1.0,1.0
alejandro,5.0,24.0,29.0
aleko,0.0,4.0,4.0
aleksa,1.0,0.0,1.0
aleksandr,0.0,3.0,3.0
aleksandrov,0.0,2.0,2.0
aleksei,0.0,1.0,1.0
aleksey,0.0,1.0,1.0
aleopath,1.0,0.0,1.0
alert,36.0,32.0,68.0
alesandr,0.0,1.0,1.0
alessandra,1.0,1.0,2.0
alessandro,0.0,1.0,1.0
alessio,1.0,0.0,1.0
alex,145.0,201.0,346.0
alexa,1.0,1.0,2.0
alexaki,0.0,1.0,1.0
alexanad,0.0,1.0,1.0
alexand,13.0,22.0,35.0
alexandr,7.0,20.0,27.0
alexandra,21.0,19.0,40.0
alexandria,0.0,1.0,1.0
alexcanr,0.0,1.0,1.0
alexei,1.0,1.0,2.0
alexej,0.0,1.0,1.0
alexi,4.0,11.0,15.0
alexio,1.0,0.0,1.0
alexondra,1.0,3.0,4.0
alf,1.0,4.0,5.0
alfalfa,1.0,3.0,4.0
alfi,4.0,1.0,5.0
alfio,0.0,2.0,2.0
alfonso,3.0,4.0,7.0
alfr,65.0,171.0,236.0
alfredo,4.0,1.0,5.0
alfri,0.0,1.0,1.0
alfven,0.0,1.0,1.0
alga,1.0,0.0,1.0
algebra,0.0,1.0,1.0
alger,0.0,1.0,1.0
algeria,1.0,0.0,1.0
algerian,4.0,1.0,5.0
algernon,0.0,1.0,1.0
algi,2.0,0.0,2.0
algo,0.0,1.0,1.0
algren,0.0,1.0,1.0
ali,42.0,43.0,85.0
alia,9.0,3.0,12.0
alian,0.0,1.0,1.0
alias,1.0,0.0,1.0
alibi,0.0,5.0,5.0
alic,44.0,70.0,114.0
alica,0.0,1.0,1.0
alicia,15.0,20.0,35.0
alida,2.0,1.0,3.0
alien,374.0,265.0,639.0
alienpr,1.0,0.0,1.0
alienwar,1.0,0.0,1.0
alight,4.0,4.0,8.0
align,6.0,17.0,23.0
alik,73.0,124.0,197.0
